block_id,mine_id,x,y,z,volume_m3,density,estimated_mn_pct,kriging_variance,tonnage_t,is_ore
BLK-0094,DEMO-01,25.0,407.69,147.67,32068.4,2.92,21.197,218.8199,93639.7,1
BLK-0095,DEMO-01,25.0,407.69,162.56,32068.4,3.063,20.708,180.5179,98225.5,1
BLK-0096,DEMO-01,25.0,407.69,177.44,32068.4,3.359,23.033,91.0762,107717.8,1
BLK-0097,DEMO-01,25.0,407.69,192.33,32068.4,3.026,27.932,100.1014,97039.0,1
BLK-0098,DEMO-01,25.0,407.69,207.22,32068.4,2.896,27.879,148.6155,92870.1,1
BLK-0099,DEMO-01,25.0,407.69,222.11,32068.4,2.902,22.772,200.8502,93062.5,1
BLK-0100,DEMO-01,25.0,407.69,237.0,32068.4,2.936,17.94,220.22,94152.8,0
BLK-0101,DEMO-01,25.0,450.77,103.0,32068.4,2.913,22.917,224.9492,93415.2,1
BLK-0102,DEMO-01,25.0,450.77,117.89,32068.4,2.919,22.917,224.9492,93607.7,1
BLK-0103,DEMO-01,25.0,450.77,132.78,32068.4,2.91,22.917,224.9492,93319.0,1
BLK-0104,DEMO-01,25.0,450.77,147.67,32068.4,2.912,21.404,220.1833,93383.2,1
BLK-0105,DEMO-01,25.0,450.77,162.56,32068.4,3.099,20.522,181.7964,99380.0,1
BLK-0106,DEMO-01,25.0,450.77,177.44,32068.4,3.039,18.165,85.7883,97455.9,0
BLK-0107,DEMO-01,25.0,450.77,192.33,32068.4,2.923,22.398,106.6426,93735.9,1
BLK-0108,DEMO-01,25.0,450.77,207.22,32068.4,2.916,24.923,154.7841,93511.5,1
BLK-0109,DEMO-01,25.0,450.77,222.11,32068.4,2.919,21.632,204.6189,93607.7,1
BLK-0110,DEMO-01,25.0,450.77,237.0,32068.4,2.907,17.949,220.8288,93222.8,0
BLK-0111,DEMO-01,25.0,493.85,103.0,32068.4,2.892,22.917,224.9492,92741.8,1
BLK-0112,DEMO-01,25.0,493.85,117.89,32068.4,2.906,22.917,224.9492,93190.8,1
BLK-0113,DEMO-01,25.0,493.85,132.78,32068.4,2.906,22.917,224.9492,93190.8,1
BLK-0114,DEMO-01,25.0,493.85,147.67,32068.4,2.912,19.365,223.4384,93383.2,0
BLK-0115,DEMO-01,25.0,493.85,162.56,32068.4,2.987,17.211,194.214,95788.3,0
BLK-0116,DEMO-01,25.0,493.85,177.44,32068.4,2.958,15.163,130.8539,94858.3,0
BLK-0117,DEMO-01,25.0,493.85,192.33,32068.4,2.926,16.783,125.6686,93832.1,0
BLK-0118,DEMO-01,25.0,493.85,207.22,32068.4,2.918,20.306,165.5859,93575.6,1
BLK-0119,DEMO-01,25.0,493.85,222.11,32068.4,2.929,19.76,208.4986,93928.3,0
BLK-0120,DEMO-01,25.0,493.85,237.0,32068.4,2.914,18.221,221.5477,93447.3,0
BLK-0121,DEMO-01,25.0,536.92,103.0,32068.4,2.927,22.246,225.6097,93864.2,1
BLK-0122,DEMO-01,25.0,536.92,117.89,32068.4,2.914,20.477,226.7218,93447.3,1
BLK-0123,DEMO-01,25.0,536.92,132.78,32068.4,2.922,19.755,225.5651,93703.9,0
BLK-0124,DEMO-01,25.0,536.92,147.67,32068.4,2.897,19.621,225.0001,92902.2,0
BLK-0125,DEMO-01,25.0,536.92,162.56,32068.4,2.888,17.078,208.0023,92613.5,0
BLK-0126,DEMO-01,25.0,536.92,177.44,32068.4,2.942,13.012,159.9707,94345.2,0
BLK-0127,DEMO-01,25.0,536.92,192.33,32068.4,2.929,12.548,133.3827,93928.3,0
BLK-0128,DEMO-01,25.0,536.92,207.22,32068.4,2.923,16.518,172.0635,93735.9,0
BLK-0129,DEMO-01,25.0,536.92,222.11,32068.4,2.909,17.814,212.6655,93287.0,0
BLK-0130,DEMO-01,25.0,536.92,237.0,32068.4,2.936,17.502,222.9504,94152.8,0
BLK-0131,DEMO-01,25.0,580.0,103.0,32068.4,2.91,19.338,226.5037,93319.0,0
BLK-0132,DEMO-01,25.0,580.0,117.89,32068.4,2.922,19.024,226.0149,93703.9,0
BLK-0133,DEMO-01,25.0,580.0,132.78,32068.4,2.924,19.024,226.0149,93768.0,0
BLK-0134,DEMO-01,25.0,580.0,147.67,32068.4,2.939,19.755,225.5651,94249.0,0
BLK-0135,DEMO-01,25.0,580.0,162.56,32068.4,2.912,17.778,217.0557,93383.2,0
BLK-0136,DEMO-01,25.0,580.0,177.44,32068.4,2.91,13.261,178.0341,93319.0,0
BLK-0137,DEMO-01,25.0,580.0,192.33,32068.4,2.9,11.228,137.5037,92998.4,0
BLK-0138,DEMO-01,25.0,580.0,207.22,32068.4,2.937,15.136,174.7162,94184.9,0
BLK-0139,DEMO-01,25.0,580.0,222.11,32068.4,2.922,16.915,214.4156,93703.9,0
BLK-0140,DEMO-01,25.0,580.0,237.0,32068.4,2.922,18.01,222.9363,93703.9,0
BLK-0141,DEMO-01,75.0,20.0,103.0,32068.4,2.957,23.069,223.9205,94826.3,1
BLK-0142,DEMO-01,75.0,20.0,117.89,32068.4,2.92,23.069,223.9205,93639.7,1
BLK-0143,DEMO-01,75.0,20.0,132.78,32068.4,2.899,22.102,223.6939,92966.3,1
BLK-0144,DEMO-01,75.0,20.0,147.67,32068.4,2.914,21.741,223.2333,93447.3,1
BLK-0145,DEMO-01,75.0,20.0,162.56,32068.4,2.903,14.803,206.1581,93094.6,0
BLK-0146,DEMO-01,75.0,20.0,177.44,32068.4,2.911,9.086,143.7015,93351.1,0
BLK-0147,DEMO-01,75.0,20.0,192.33,32068.4,2.911,4.984,74.9102,93351.1,0
BLK-0148,DEMO-01,75.0,20.0,207.22,32068.4,2.909,6.655,98.9128,93287.0,0
BLK-0149,DEMO-01,75.0,20.0,222.11,32068.4,2.898,9.29,144.2033,92934.2,0
BLK-0150,DEMO-01,75.0,20.0,237.0,32068.4,2.937,12.869,202.7919,94184.9,0
BLK-0151,DEMO-01,75.0,63.08,103.0,32068.4,2.92,22.584,222.6342,93639.7,1
BLK-0152,DEMO-01,75.0,63.08,117.89,32068.4,2.913,23.455,223.6783,93415.2,1
BLK-0153,DEMO-01,75.0,63.08,132.78,32068.4,2.926,22.353,223.6681,93832.1,1
BLK-0154,DEMO-01,75.0,63.08,147.67,32068.4,2.922,21.556,222.55,93703.9,1
BLK-0155,DEMO-01,75.0,63.08,162.56,32068.4,2.92,17.795,193.1177,93639.7,0
BLK-0156,DEMO-01,75.0,63.08,177.44,32068.4,2.925,7.59,106.101,93800.1,0
BLK-0157,DEMO-01,75.0,63.08,192.33,32068.4,2.919,3.23,67.9144,93607.7,0
BLK-0158,DEMO-01,75.0,63.08,207.22,32068.4,2.926,4.453,73.7397,93832.1,0
BLK-0159,DEMO-01,75.0,63.08,222.11,32068.4,2.926,6.739,100.4308,93832.1,0
BLK-0160,DEMO-01,75.0,63.08,237.0,32068.4,2.918,11.542,187.1695,93575.6,0
BLK-0161,DEMO-01,75.0,106.15,103.0,32068.4,2.913,22.787,222.0103,93415.2,1
BLK-0162,DEMO-01,75.0,106.15,117.89,32068.4,2.936,21.671,221.5695,94152.8,1
BLK-0163,DEMO-01,75.0,106.15,132.78,32068.4,2.91,22.138,223.1103,93319.0,1
BLK-0164,DEMO-01,75.0,106.15,147.67,32068.4,2.921,22.856,220.9414,93671.8,1
BLK-0165,DEMO-01,75.0,106.15,162.56,32068.4,2.922,18.178,189.0071,93703.9,0
BLK-0166,DEMO-01,75.0,106.15,177.44,32068.4,2.914,9.423,104.4325,93447.3,0
BLK-0167,DEMO-01,75.0,106.15,192.33,32068.4,2.913,5.679,85.6391,93415.2,0
BLK-0168,DEMO-01,75.0,106.15,207.22,32068.4,2.913,5.818,83.1419,93415.2,0
BLK-0169,DEMO-01,75.0,106.15,222.11,32068.4,2.91,8.26,90.0774,93319.0,0
BLK-0170,DEMO-01,75.0,106.15,237.0,32068.4,2.897,9.589,180.9948,92902.2,0
BLK-0171,DEMO-01,75.0,149.23,103.0,32068.4,2.908,22.587,222.1873,93254.9,1
BLK-0172,DEMO-01,75.0,149.23,117.89,32068.4,2.92,21.743,220.7816,93639.7,1
BLK-0173,DEMO-01,75.0,149.23,132.78,32068.4,2.933,23.619,221.8218,94056.6,1
BLK-0174,DEMO-01,75.0,149.23,147.67,32068.4,2.924,23.642,218.7233,93768.0,1
BLK-0175,DEMO-01,75.0,149.23,162.56,32068.4,2.888,21.775,185.3533,92613.5,1
BLK-0176,DEMO-01,75.0,149.23,177.44,32068.4,2.959,14.739,122.1114,94890.4,0
BLK-0177,DEMO-01,75.0,149.23,192.33,32068.4,2.931,11.96,115.1486,93992.5,0
BLK-0178,DEMO-01,75.0,149.23,207.22,32068.4,2.924,11.515,105.4312,93768.0,0
BLK-0179,DEMO-01,75.0,149.23,222.11,32068.4,2.916,11.321,109.3867,93511.5,0
BLK-0180,DEMO-01,75.0,149.23,237.0,32068.4,2.914,13.523,180.1201,93447.3,0
BLK-0181,DEMO-01,75.0,192.31,103.0,32068.4,2.915,23.877,221.4971,93479.4,1
BLK-0182,DEMO-01,75.0,192.31,117.89,32068.4,2.916,22.917,221.1592,93511.5,1
BLK-0183,DEMO-01,75.0,192.31,132.78,32068.4,2.934,22.649,220.5961,94088.7,1
BLK-0184,DEMO-01,75.0,192.31,147.67,32068.4,2.916,25.103,215.3921,93511.5,1
BLK-0185,DEMO-01,75.0,192.31,162.56,32068.4,2.94,23.557,171.768,94281.1,1
BLK-0186,DEMO-01,75.0,192.31,177.44,32068.4,3.022,22.222,106.0282,96910.7,1
BLK-0187,DEMO-01,75.0,192.31,192.33,32068.4,3.021,21.213,122.5203,96878.6,1
BLK-0188,DEMO-01,75.0,192.31,207.22,32068.4,2.903,20.359,94.4787,93094.6,1
BLK-0189,DEMO-01,75.0,192.31,222.11,32068.4,2.931,16.721,108.652,93992.5,0
BLK-0190,DEMO-01,75.0,192.31,237.0,32068.4,2.91,16.205,183.019,93319.0,0
BLK-0191,DEMO-01,75.0,235.38,103.0,32068.4,2.926,21.656,219.0001,93832.1,1
BLK-0192,DEMO-01,75.0,235.38,117.89,32068.4,2.903,21.092,219.3805,93094.6,1
BLK-0193,DEMO-01,75.0,235.38,132.78,32068.4,2.901,22.143,220.2459,93030.4,1
BLK-0194,DEMO-01,75.0,235.38,147.67,32068.4,2.942,23.42,213.6736,94345.2,1
BLK-0195,DEMO-01,75.0,235.38,162.56,32068.4,2.905,25.463,158.8958,93158.7,1
BLK-0196,DEMO-01,75.0,235.38,177.44,32068.4,3.004,28.962,44.0976,96333.5,1
BLK-0197,DEMO-01,75.0,235.38,192.33,32068.4,3.223,30.779,111.0319,103356.5,1
BLK-0198,DEMO-01,75.0,235.38,207.22,32068.4,3.044,29.126,71.3708,97616.2,1
BLK-0199,DEMO-01,75.0,235.38,222.11,32068.4,2.922,22.19,113.4157,93703.9,1
BLK-0200,DEMO-01,75.0,235.38,237.0,32068.4,2.899,18.452,192.0579,92966.3,0
BLK-0201,DEMO-01,75.0,278.46,103.0,32068.4,2.916,21.21,219.2066,93511.5,1
BLK-0202,DEMO-01,75.0,278.46,117.89,32068.4,2.902,20.991,218.9951,93062.5,1
BLK-0203,DEMO-01,75.0,278.46,132.78,32068.4,2.911,22.007,219.1426,93351.1,1
BLK-0204,DEMO-01,75.0,278.46,147.67,32068.4,2.928,21.848,214.3947,93896.3,1
BLK-0205,DEMO-01,75.0,278.46,162.56,32068.4,2.92,26.634,165.7768,93639.7,1
BLK-0206,DEMO-01,75.0,278.46,177.44,32068.4,2.918,32.294,83.6855,93575.6,1
BLK-0207,DEMO-01,75.0,278.46,192.33,32068.4,3.26,37.178,94.3673,104543.0,1
BLK-0208,DEMO-01,75.0,278.46,207.22,32068.4,3.446,33.951,60.4272,110507.7,1
BLK-0209,DEMO-01,75.0,278.46,222.11,32068.4,2.997,25.102,138.3753,96109.0,1
BLK-0210,DEMO-01,75.0,278.46,237.0,32068.4,2.928,18.222,202.2961,93896.3,0
BLK-0211,DEMO-01,75.0,321.54,103.0,32068.4,2.914,21.21,219.2066,93447.3,1
BLK-0212,DEMO-01,75.0,321.54,117.89,32068.4,2.901,19.032,220.1533,93030.4,0
BLK-0213,DEMO-01,75.0,321.54,132.78,32068.4,2.941,19.185,220.5791,94313.2,0
BLK-0214,DEMO-01,75.0,321.54,147.67,32068.4,2.916,21.432,216.8746,93511.5,1
BLK-0215,DEMO-01,75.0,321.54,162.56,32068.4,2.915,26.733,178.5677,93479.4,1
BLK-0216,DEMO-01,75.0,321.54,177.44,32068.4,2.932,34.241,111.7705,94024.5,1
BLK-0217,DEMO-01,75.0,321.54,192.33,32068.4,3.333,40.338,78.9987,106884.0,1
BLK-0218,DEMO-01,75.0,321.54,207.22,32068.4,3.709,37.135,66.233,118941.7,1
BLK-0219,DEMO-01,75.0,321.54,222.11,32068.4,3.062,26.217,160.7562,98193.4,1
BLK-0220,DEMO-01,75.0,321.54,237.0,32068.4,2.911,17.76,210.5075,93351.1,0
BLK-0221,DEMO-01,75.0,364.62,103.0,32068.4,2.934,18.635,220.8096,94088.7,0
BLK-0222,DEMO-01,75.0,364.62,117.89,32068.4,2.927,19.032,220.1533,93864.2,0
BLK-0223,DEMO-01,75.0,364.62,132.78,32068.4,2.913,19.931,221.24,93415.2,0
BLK-0224,DEMO-01,75.0,364.62,147.67,32068.4,2.934,20.711,217.5817,94088.7,1
BLK-0225,DEMO-01,75.0,364.62,162.56,32068.4,2.928,25.278,178.2489,93896.3,1
BLK-0226,DEMO-01,75.0,364.62,177.44,32068.4,3.036,32.561,111.4468,97359.7,1
BLK-0227,DEMO-01,75.0,364.62,192.33,32068.4,3.722,38.952,85.2922,119358.6,1
BLK-0228,DEMO-01,75.0,364.62,207.22,32068.4,3.47,36.359,100.1979,111277.3,1
BLK-0229,DEMO-01,75.0,364.62,222.11,32068.4,2.944,25.691,174.6582,94409.4,1
BLK-0230,DEMO-01,75.0,364.62,237.0,32068.4,2.917,17.766,216.7452,93543.5,0
BLK-0231,DEMO-01,75.0,407.69,103.0,32068.4,2.92,19.253,221.7044,93639.7,0
BLK-0232,DEMO-01,75.0,407.69,117.89,32068.4,2.894,20.097,221.7102,92805.9,1
BLK-0233,DEMO-01,75.0,407.69,132.78,32068.4,2.914,20.097,221.7102,93447.3,1
BLK-0234,DEMO-01,75.0,407.69,147.67,32068.4,2.913,21.777,218.4269,93415.2,1
BLK-0235,DEMO-01,75.0,407.69,162.56,32068.4,2.974,23.533,172.5047,95371.4,1
BLK-0236,DEMO-01,75.0,407.69,177.44,32068.4,3.413,28.15,93.8864,109449.4,1
BLK-0237,DEMO-01,75.0,407.69,192.33,32068.4,3.547,34.186,82.2107,113746.6,1
BLK-0238,DEMO-01,75.0,407.69,207.22,32068.4,2.99,32.949,98.3454,95884.5,1
BLK-0239,DEMO-01,75.0,407.69,222.11,32068.4,2.93,24.333,182.2539,93960.4,1
BLK-0240,DEMO-01,75.0,407.69,237.0,32068.4,2.916,17.01,218.7207,93511.5,0
BLK-0241,DEMO-01,75.0,450.77,103.0,32068.4,2.94,21.088,224.1486,94281.1,1
BLK-0242,DEMO-01,75.0,450.77,117.89,32068.4,2.925,21.088,224.1486,93800.1,1
BLK-0243,DEMO-01,75.0,450.77,132.78,32068.4,2.911,22.917,224.9492,93351.1,1
BLK-0244,DEMO-01,75.0,450.77,147.67,32068.4,2.923,23.029,220.4285,93735.9,1
BLK-0245,DEMO-01,75.0,450.77,162.56,32068.4,3.049,21.755,175.437,97776.6,1
BLK-0246,DEMO-01,75.0,450.77,177.44,32068.4,3.424,22.396,93.2626,109802.2,1
BLK-0247,DEMO-01,75.0,450.77,192.33,32068.4,3.085,26.365,77.8884,98931.0,1
BLK-0248,DEMO-01,75.0,450.77,207.22,32068.4,2.913,27.812,101.9652,93415.2,1
BLK-0249,DEMO-01,75.0,450.77,222.11,32068.4,2.922,22.627,188.465,93703.9,1
BLK-0250,DEMO-01,75.0,450.77,237.0,32068.4,2.932,17.354,220.1933,94024.5,0
BLK-0251,DEMO-01,75.0,493.85,103.0,32068.4,2.887,22.246,225.6097,92581.5,1
BLK-0252,DEMO-01,75.0,493.85,117.89,32068.4,2.934,22.246,225.6097,94088.7,1
BLK-0253,DEMO-01,75.0,493.85,132.78,32068.4,2.914,22.917,224.9492,93447.3,1
BLK-0254,DEMO-01,75.0,493.85,147.67,32068.4,2.893,19.704,223.2434,92773.9,0
BLK-0255,DEMO-01,75.0,493.85,162.56,32068.4,2.939,18.159,189.2201,94249.0,0
BLK-0256,DEMO-01,75.0,493.85,177.44,32068.4,3.137,16.383,114.9895,100598.6,0
BLK-0257,DEMO-01,75.0,493.85,192.33,32068.4,3.012,17.298,83.6029,96590.0,0
BLK-0258,DEMO-01,75.0,493.85,207.22,32068.4,2.919,20.359,128.3261,93607.7,1
BLK-0259,DEMO-01,75.0,493.85,222.11,32068.4,2.925,19.127,196.3354,93800.1,0
BLK-0260,DEMO-01,75.0,493.85,237.0,32068.4,2.909,17.784,221.9097,93287.0,0
BLK-0261,DEMO-01,75.0,536.92,103.0,32068.4,2.902,19.338,226.5037,93062.5,0
BLK-0262,DEMO-01,75.0,536.92,117.89,32068.4,2.911,19.338,226.5037,93351.1,0
BLK-0263,DEMO-01,75.0,536.92,132.78,32068.4,2.917,19.024,226.0149,93543.5,0
BLK-0264,DEMO-01,75.0,536.92,147.67,32068.4,2.919,19.645,225.0416,93607.7,0
BLK-0265,DEMO-01,75.0,536.92,162.56,32068.4,2.911,17.184,202.6378,93351.1,0
BLK-0266,DEMO-01,75.0,536.92,177.44,32068.4,2.986,12.743,132.669,95756.2,0
BLK-0267,DEMO-01,75.0,536.92,192.33,32068.4,2.98,10.042,73.5537,95563.8,0
BLK-0268,DEMO-01,75.0,536.92,207.22,32068.4,2.914,13.457,139.9843,93447.3,0
BLK-0269,DEMO-01,75.0,536.92,222.11,32068.4,2.909,16.802,201.7552,93287.0,0
BLK-0270,DEMO-01,75.0,536.92,237.0,32068.4,2.93,17.356,222.1225,93960.4,0
BLK-0271,DEMO-01,75.0,580.0,103.0,32068.4,2.914,17.866,225.615,93447.3,0
BLK-0272,DEMO-01,75.0,580.0,117.89,32068.4,2.907,17.433,225.5386,93222.8,0
