block_id,mine_id,x,y,z,volume_m3,density
BLK-0140,DEMO-01,25.0,580.0,237.0,32068.4,2.922
BLK-0141,DEMO-01,75.0,20.0,103.0,32068.4,2.957
BLK-0142,DEMO-01,75.0,20.0,117.89,32068.4,2.92
BLK-0143,DEMO-01,75.0,20.0,132.78,32068.4,2.899
BLK-0144,DEMO-01,75.0,20.0,147.67,32068.4,2.914
BLK-0145,DEMO-01,75.0,20.0,162.56,32068.4,2.903
BLK-0146,DEMO-01,75.0,20.0,177.44,32068.4,2.911
BLK-0147,DEMO-01,75.0,20.0,192.33,32068.4,2.911
BLK-0148,DEMO-01,75.0,20.0,207.22,32068.4,2.909
BLK-0149,DEMO-01,75.0,20.0,222.11,32068.4,2.898
BLK-0150,DEMO-01,75.0,20.0,237.0,32068.4,2.937
BLK-0151,DEMO-01,75.0,63.08,103.0,32068.4,2.92
BLK-0152,DEMO-01,75.0,63.08,117.89,32068.4,2.913
BLK-0153,DEMO-01,75.0,63.08,132.78,32068.4,2.926
BLK-0154,DEMO-01,75.0,63.08,147.67,32068.4,2.922
BLK-0155,DEMO-01,75.0,63.08,162.56,32068.4,2.92
BLK-0156,DEMO-01,75.0,63.08,177.44,32068.4,2.925
BLK-0157,DEMO-01,75.0,63.08,192.33,32068.4,2.919
BLK-0158,DEMO-01,75.0,63.08,207.22,32068.4,2.926
BLK-0159,DEMO-01,75.0,63.08,222.11,32068.4,2.926
BLK-0160,DEMO-01,75.0,63.08,237.0,32068.4,2.918
BLK-0161,DEMO-01,75.0,106.15,103.0,32068.4,2.913
BLK-0162,DEMO-01,75.0,106.15,117.89,32068.4,2.936
BLK-0163,DEMO-01,75.0,106.15,132.78,32068.4,2.91
BLK-0164,DEMO-01,75.0,106.15,147.67,32068.4,2.921
BLK-0165,DEMO-01,75.0,106.15,162.56,32068.4,2.922
BLK-0166,DEMO-01,75.0,106.15,177.44,32068.4,2.914
BLK-0167,DEMO-01,75.0,106.15,192.33,32068.4,2.913
BLK-0168,DEMO-01,75.0,106.15,207.22,32068.4,2.913
BLK-0169,DEMO-01,75.0,106.15,222.11,32068.4,2.91
BLK-0170,DEMO-01,75.0,106.15,237.0,32068.4,2.897
BLK-0171,DEMO-01,75.0,149.23,103.0,32068.4,2.908
BLK-0172,DEMO-01,75.0,149.23,117.89,32068.4,2.92
BLK-0173,DEMO-01,75.0,149.23,132.78,32068.4,2.933
BLK-0174,DEMO-01,75.0,149.23,147.67,32068.4,2.924
BLK-0175,DEMO-01,75.0,149.23,162.56,32068.4,2.888
BLK-0176,DEMO-01,75.0,149.23,177.44,32068.4,2.959
BLK-0177,DEMO-01,75.0,149.23,192.33,32068.4,2.931
BLK-0178,DEMO-01,75.0,149.23,207.22,32068.4,2.924
BLK-0179,DEMO-01,75.0,149.23,222.11,32068.4,2.916
BLK-0180,DEMO-01,75.0,149.23,237.0,32068.4,2.914
BLK-0181,DEMO-01,75.0,192.31,103.0,32068.4,2.915
BLK-0182,DEMO-01,75.0,192.31,117.89,32068.4,2.916
BLK-0183,DEMO-01,75.0,192.31,132.78,32068.4,2.934
BLK-0184,DEMO-01,75.0,192.31,147.67,32068.4,2.916
BLK-0185,DEMO-01,75.0,192.31,162.56,32068.4,2.94
BLK-0186,DEMO-01,75.0,192.31,177.44,32068.4,3.022
BLK-0187,DEMO-01,75.0,192.31,192.33,32068.4,3.021
BLK-0188,DEMO-01,75.0,192.31,207.22,32068.4,2.903
BLK-0189,DEMO-01,75.0,192.31,222.11,32068.4,2.931
BLK-0190,DEMO-01,75.0,192.31,237.0,32068.4,2.91
BLK-0191,DEMO-01,75.0,235.38,103.0,32068.4,2.926
BLK-0192,DEMO-01,75.0,235.38,117.89,32068.4,2.903
BLK-0193,DEMO-01,75.0,235.38,132.78,32068.4,2.901
BLK-0194,DEMO-01,75.0,235.38,147.67,32068.4,2.942
BLK-0195,DEMO-01,75.0,235.38,162.56,32068.4,2.905
BLK-0196,DEMO-01,75.0,235.38,177.44,32068.4,3.004
BLK-0197,DEMO-01,75.0,235.38,192.33,32068.4,3.223
BLK-0198,DEMO-01,75.0,235.38,207.22,32068.4,3.044
BLK-0199,DEMO-01,75.0,235.38,222.11,32068.4,2.922
BLK-0200,DEMO-01,75.0,235.38,237.0,32068.4,2.899
BLK-0201,DEMO-01,75.0,278.46,103.0,32068.4,2.916
BLK-0202,DEMO-01,75.0,278.46,117.89,32068.4,2.902
BLK-0203,DEMO-01,75.0,278.46,132.78,32068.4,2.911
BLK-0204,DEMO-01,75.0,278.46,147.67,32068.4,2.928
BLK-0205,DEMO-01,75.0,278.46,162.56,32068.4,2.92
BLK-0206,DEMO-01,75.0,278.46,177.44,32068.4,2.918
BLK-0207,DEMO-01,75.0,278.46,192.33,32068.4,3.26
BLK-0208,DEMO-01,75.0,278.46,207.22,32068.4,3.446
BLK-0209,DEMO-01,75.0,278.46,222.11,32068.4,2.997
BLK-0210,DEMO-01,75.0,278.46,237.0,32068.4,2.928
BLK-0211,DEMO-01,75.0,321.54,103.0,32068.4,2.914
BLK-0212,DEMO-01,75.0,321.54,117.89,32068.4,2.901
BLK-0213,DEMO-01,75.0,321.54,132.78,32068.4,2.941
BLK-0214,DEMO-01,75.0,321.54,147.67,32068.4,2.916
BLK-0215,DEMO-01,75.0,321.54,162.56,32068.4,2.915
BLK-0216,DEMO-01,75.0,321.54,177.44,32068.4,2.932
BLK-0217,DEMO-01,75.0,321.54,192.33,32068.4,3.333
BLK-0218,DEMO-01,75.0,321.54,207.22,32068.4,3.709
BLK-0219,DEMO-01,75.0,321.54,222.11,32068.4,3.062
BLK-0220,DEMO-01,75.0,321.54,237.0,32068.4,2.911
BLK-0221,DEMO-01,75.0,364.62,103.0,32068.4,2.934
BLK-0222,DEMO-01,75.0,364.62,117.89,32068.4,2.927
BLK-0223,DEMO-01,75.0,364.62,132.78,32068.4,2.913
BLK-0224,DEMO-01,75.0,364.62,147.67,32068.4,2.934
BLK-0225,DEMO-01,75.0,364.62,162.56,32068.4,2.928
BLK-0226,DEMO-01,75.0,364.62,177.44,32068.4,3.036
BLK-0227,DEMO-01,75.0,364.62,192.33,32068.4,3.722
BLK-0228,DEMO-01,75.0,364.62,207.22,32068.4,3.47
BLK-0229,DEMO-01,75.0,364.62,222.11,32068.4,2.944
BLK-0230,DEMO-01,75.0,364.62,237.0,32068.4,2.917
BLK-0231,DEMO-01,75.0,407.69,103.0,32068.4,2.92
BLK-0232,DEMO-01,75.0,407.69,117.89,32068.4,2.894
BLK-0233,DEMO-01,75.0,407.69,132.78,32068.4,2.914
BLK-0234,DEMO-01,75.0,407.69,147.67,32068.4,2.913
BLK-0235,DEMO-01,75.0,407.69,162.56,32068.4,2.974
BLK-0236,DEMO-01,75.0,407.69,177.44,32068.4,3.413
BLK-0237,DEMO-01,75.0,407.69,192.33,32068.4,3.547
BLK-0238,DEMO-01,75.0,407.69,207.22,32068.4,2.99
BLK-0239,DEMO-01,75.0,407.69,222.11,32068.4,2.93
BLK-0240,DEMO-01,75.0,407.69,237.0,32068.4,2.916
BLK-0241,DEMO-01,75.0,450.77,103.0,32068.4,2.94
BLK-0242,DEMO-01,75.0,450.77,117.89,32068.4,2.925
BLK-0243,DEMO-01,75.0,450.77,132.78,32068.4,2.911
BLK-0244,DEMO-01,75.0,450.77,147.67,32068.4,2.923
BLK-0245,DEMO-01,75.0,450.77,162.56,32068.4,3.049
BLK-0246,DEMO-01,75.0,450.77,177.44,32068.4,3.424
BLK-0247,DEMO-01,75.0,450.77,192.33,32068.4,3.085
BLK-0248,DEMO-01,75.0,450.77,207.22,32068.4,2.913
BLK-0249,DEMO-01,75.0,450.77,222.11,32068.4,2.922
BLK-0250,DEMO-01,75.0,450.77,237.0,32068.4,2.932
BLK-0251,DEMO-01,75.0,493.85,103.0,32068.4,2.887
BLK-0252,DEMO-01,75.0,493.85,117.89,32068.4,2.934
BLK-0253,DEMO-01,75.0,493.85,132.78,32068.4,2.914
BLK-0254,DEMO-01,75.0,493.85,147.67,32068.4,2.893
BLK-0255,DEMO-01,75.0,493.85,162.56,32068.4,2.939
BLK-0256,DEMO-01,75.0,493.85,177.44,32068.4,3.137
BLK-0257,DEMO-01,75.0,493.85,192.33,32068.4,3.012
BLK-0258,DEMO-01,75.0,493.85,207.22,32068.4,2.919
BLK-0259,DEMO-01,75.0,493.85,222.11,32068.4,2.925
BLK-0260,DEMO-01,75.0,493.85,237.0,32068.4,2.909
BLK-0261,DEMO-01,75.0,536.92,103.0,32068.4,2.902
BLK-0262,DEMO-01,75.0,536.92,117.89,32068.4,2.911
BLK-0263,DEMO-01,75.0,536.92,132.78,32068.4,2.917
BLK-0264,DEMO-01,75.0,536.92,147.67,32068.4,2.919
BLK-0265,DEMO-01,75.0,536.92,162.56,32068.4,2.911
BLK-0266,DEMO-01,75.0,536.92,177.44,32068.4,2.986
BLK-0267,DEMO-01,75.0,536.92,192.33,32068.4,2.98
BLK-0268,DEMO-01,75.0,536.92,207.22,32068.4,2.914
BLK-0269,DEMO-01,75.0,536.92,222.11,32068.4,2.909
BLK-0270,DEMO-01,75.0,536.92,237.0,32068.4,2.93
BLK-0271,DEMO-01,75.0,580.0,103.0,32068.4,2.914
BLK-0272,DEMO-01,75.0,580.0,117.89,32068.4,2.907
BLK-0273,DEMO-01,75.0,580.0,132.78,32068.4,2.928
BLK-0274,DEMO-01,75.0,580.0,147.67,32068.4,2.944
BLK-0275,DEMO-01,75.0,580.0,162.56,32068.4,2.919
BLK-0276,DEMO-01,75.0,580.0,177.44,32068.4,2.937
BLK-0277,DEMO-01,75.0,580.0,192.33,32068.4,2.952
BLK-0278,DEMO-01,75.0,580.0,207.22,32068.4,2.919
BLK-0279,DEMO-01,75.0,580.0,222.11,32068.4,2.917
BLK-0280,DEMO-01,75.0,580.0,237.0,32068.4,2.899
BLK-0281,DEMO-01,125.0,20.0,103.0,32068.4,2.913
BLK-0282,DEMO-01,125.0,20.0,117.89,32068.4,2.908
BLK-0283,DEMO-01,125.0,20.0,132.78,32068.4,2.911
BLK-0284,DEMO-01,125.0,20.0,147.67,32068.4,2.906
BLK-0285,DEMO-01,125.0,20.0,162.56,32068.4,2.912
BLK-0286,DEMO-01,125.0,20.0,177.44,32068.4,2.923
BLK-0287,DEMO-01,125.0,20.0,192.33,32068.4,2.915
BLK-0288,DEMO-01,125.0,20.0,207.22,32068.4,2.892
BLK-0289,DEMO-01,125.0,20.0,222.11,32068.4,2.906
BLK-0290,DEMO-01,125.0,20.0,237.0,32068.4,2.896
BLK-0291,DEMO-01,125.0,63.08,103.0,32068.4,2.919
BLK-0292,DEMO-01,125.0,63.08,117.89,32068.4,2.923
BLK-0293,DEMO-01,125.0,63.08,132.78,32068.4,2.92
BLK-0294,DEMO-01,125.0,63.08,147.67,32068.4,2.906
BLK-0295,DEMO-01,125.0,63.08,162.56,32068.4,2.919
BLK-0296,DEMO-01,125.0,63.08,177.44,32068.4,2.91
BLK-0297,DEMO-01,125.0,63.08,192.33,32068.4,2.902
BLK-0298,DEMO-01,125.0,63.08,207.22,32068.4,2.926
BLK-0299,DEMO-01,125.0,63.08,222.11,32068.4,2.927
BLK-0300,DEMO-01,125.0,63.08,237.0,32068.4,2.929
BLK-0301,DEMO-01,125.0,106.15,103.0,32068.4,2.908
BLK-0302,DEMO-01,125.0,106.15,117.89,32068.4,2.932
BLK-0303,DEMO-01,125.0,106.15,132.78,32068.4,2.91
BLK-0304,DEMO-01,125.0,106.15,147.67,32068.4,2.925
BLK-0305,DEMO-01,125.0,106.15,162.56,32068.4,2.91
BLK-0306,DEMO-01,125.0,106.15,177.44,32068.4,2.916
BLK-0307,DEMO-01,125.0,106.15,192.33,32068.4,2.888
BLK-0308,DEMO-01,125.0,106.15,207.22,32068.4,2.913
BLK-0309,DEMO-01,125.0,106.15,222.11,32068.4,2.917
BLK-0310,DEMO-01,125.0,106.15,237.0,32068.4,2.911
BLK-0311,DEMO-01,125.0,149.23,103.0,32068.4,2.939
BLK-0312,DEMO-01,125.0,149.23,117.89,32068.4,2.901
BLK-0313,DEMO-01,125.0,149.23,132.78,32068.4,2.909
BLK-0314,DEMO-01,125.0,149.23,147.67,32068.4,2.904
BLK-0315,DEMO-01,125.0,149.23,162.56,32068.4,2.912
BLK-0316,DEMO-01,125.0,149.23,177.44,32068.4,2.949
BLK-0317,DEMO-01,125.0,149.23,192.33,32068.4,2.949
BLK-0318,DEMO-01,125.0,149.23,207.22,32068.4,2.908
BLK-0319,DEMO-01,125.0,149.23,222.11,32068.4,2.907
BLK-0320,DEMO-01,125.0,149.23,237.0,32068.4,2.901
BLK-0321,DEMO-01,125.0,192.31,103.0,32068.4,2.933
BLK-0322,DEMO-01,125.0,192.31,117.89,32068.4,2.931
BLK-0323,DEMO-01,125.0,192.31,132.78,32068.4,2.915
BLK-0324,DEMO-01,125.0,192.31,147.67,32068.4,2.898
BLK-0325,DEMO-01,125.0,192.31,162.56,32068.4,2.905
BLK-0326,DEMO-01,125.0,192.31,177.44,32068.4,2.979
BLK-0327,DEMO-01,125.0,192.31,192.33,32068.4,2.987
BLK-0328,DEMO-01,125.0,192.31,207.22,32068.4,2.896
BLK-0329,DEMO-01,125.0,192.31,222.11,32068.4,2.912
BLK-0330,DEMO-01,125.0,192.31,237.0,32068.4,2.938
BLK-0331,DEMO-01,125.0,235.38,103.0,32068.4,2.913
BLK-0332,DEMO-01,125.0,235.38,117.89,32068.4,2.936
BLK-0333,DEMO-01,125.0,235.38,132.78,32068.4,2.925
BLK-0334,DEMO-01,125.0,235.38,147.67,32068.4,2.902
BLK-0335,DEMO-01,125.0,235.38,162.56,32068.4,2.914
BLK-0336,DEMO-01,125.0,235.38,177.44,32068.4,2.971
BLK-0337,DEMO-01,125.0,235.38,192.33,32068.4,3.127
BLK-0338,DEMO-01,125.0,235.38,207.22,32068.4,2.995
BLK-0339,DEMO-01,125.0,235.38,222.11,32068.4,2.94
BLK-0340,DEMO-01,125.0,235.38,237.0,32068.4,2.903
BLK-0341,DEMO-01,125.0,278.46,103.0,32068.4,2.93
BLK-0342,DEMO-01,125.0,278.46,117.89,32068.4,2.91
BLK-0343,DEMO-01,125.0,278.46,132.78,32068.4,2.916
BLK-0344,DEMO-01,125.0,278.46,147.67,32068.4,2.924
BLK-0345,DEMO-01,125.0,278.46,162.56,32068.4,2.908
BLK-0346,DEMO-01,125.0,278.46,177.44,32068.4,2.946
BLK-0347,DEMO-01,125.0,278.46,192.33,32068.4,3.185
BLK-0348,DEMO-01,125.0,278.46,207.22,32068.4,3.333
BLK-0349,DEMO-01,125.0,278.46,222.11,32068.4,2.943
BLK-0350,DEMO-01,125.0,278.46,237.0,32068.4,2.914
BLK-0351,DEMO-01,125.0,321.54,103.0,32068.4,2.927
BLK-0352,DEMO-01,125.0,321.54,117.89,32068.4,2.924
BLK-0353,DEMO-01,125.0,321.54,132.78,32068.4,2.899
BLK-0354,DEMO-01,125.0,321.54,147.67,32068.4,2.901
BLK-0355,DEMO-01,125.0,321.54,162.56,32068.4,2.907
BLK-0356,DEMO-01,125.0,321.54,177.44,32068.4,2.946
BLK-0357,DEMO-01,125.0,321.54,192.33,32068.4,3.314
BLK-0358,DEMO-01,125.0,321.54,207.22,32068.4,3.606
BLK-0359,DEMO-01,125.0,321.54,222.11,32068.4,3.037
BLK-0360,DEMO-01,125.0,321.54,237.0,32068.4,2.915
BLK-0361,DEMO-01,125.0,364.62,103.0,32068.4,2.923
BLK-0362,DEMO-01,125.0,364.62,117.89,32068.4,2.919
BLK-0363,DEMO-01,125.0,364.62,132.78,32068.4,2.909
BLK-0364,DEMO-01,125.0,364.62,147.67,32068.4,2.891
BLK-0365,DEMO-01,125.0,364.62,162.56,32068.4,2.921
BLK-0366,DEMO-01,125.0,364.62,177.44,32068.4,3.076
BLK-0367,DEMO-01,125.0,364.62,192.33,32068.4,3.788
BLK-0368,DEMO-01,125.0,364.62,207.22,32068.4,3.388
BLK-0369,DEMO-01,125.0,364.62,222.11,32068.4,2.961
BLK-0370,DEMO-01,125.0,364.62,237.0,32068.4,2.916
BLK-0371,DEMO-01,125.0,407.69,103.0,32068.4,2.924
BLK-0372,DEMO-01,125.0,407.69,117.89,32068.4,2.897
BLK-0373,DEMO-01,125.0,407.69,132.78,32068.4,2.919
BLK-0374,DEMO-01,125.0,407.69,147.67,32068.4,2.916
BLK-0375,DEMO-01,125.0,407.69,162.56,32068.4,3.011
BLK-0376,DEMO-01,125.0,407.69,177.44,32068.4,3.6
BLK-0377,DEMO-01,125.0,407.69,192.33,32068.4,3.546
BLK-0378,DEMO-01,125.0,407.69,207.22,32068.4,2.99
BLK-0379,DEMO-01,125.0,407.69,222.11,32068.4,2.916
BLK-0380,DEMO-01,125.0,407.69,237.0,32068.4,2.902
BLK-0381,DEMO-01,125.0,450.77,103.0,32068.4,2.95
BLK-0382,DEMO-01,125.0,450.77,117.89,32068.4,2.902
BLK-0383,DEMO-01,125.0,450.77,132.78,32068.4,2.915
BLK-0384,DEMO-01,125.0,450.77,147.67,32068.4,2.93
BLK-0385,DEMO-01,125.0,450.77,162.56,32068.4,3.158
BLK-0386,DEMO-01,125.0,450.77,177.44,32068.4,3.548
BLK-0387,DEMO-01,125.0,450.77,192.33,32068.4,3.09
BLK-0388,DEMO-01,125.0,450.77,207.22,32068.4,2.918
BLK-0389,DEMO-01,125.0,450.77,222.11,32068.4,2.901
BLK-0390,DEMO-01,125.0,450.77,237.0,32068.4,2.945
BLK-0391,DEMO-01,125.0,493.85,103.0,32068.4,2.913
BLK-0392,DEMO-01,125.0,493.85,117.89,32068.4,2.924
BLK-0393,DEMO-01,125.0,493.85,132.78,32068.4,2.912
BLK-0394,DEMO-01,125.0,493.85,147.67,32068.4,2.916
BLK-0395,DEMO-01,125.0,493.85,162.56,32068.4,3.033
BLK-0396,DEMO-01,125.0,493.85,177.44,32068.4,3.243
BLK-0397,DEMO-01,125.0,493.85,192.33,32068.4,3.016
BLK-0398,DEMO-01,125.0,493.85,207.22,32068.4,2.914
