date,mine_id,development_m
2023-03-04,DEMO-01,16.87
2023-03-05,DEMO-01,14.91
2023-03-06,DEMO-01,16.4
2023-03-07,DEMO-01,18.79
2023-03-08,DEMO-01,18.98
2023-03-09,DEMO-01,19.22
2023-03-10,DEMO-01,18.9
2023-03-11,DEMO-01,17.42
2023-03-12,DEMO-01,14.68
2023-03-13,DEMO-01,15.92
2023-03-14,DEMO-01,19.96
2023-03-15,DEMO-01,16.46
2023-03-16,DEMO-01,17.79
2023-03-17,DEMO-01,18.08
2023-03-18,DEMO-01,15.43
2023-03-19,DEMO-01,18.56
2023-03-20,DEMO-01,20.71
2023-03-21,DEMO-01,17.92
2023-03-22,DEMO-01,17.47
2023-03-23,DEMO-01,15.86
2023-03-24,DEMO-01,17.15
2023-03-25,DEMO-01,18.91
2023-03-26,DEMO-01,17.92
2023-03-27,DEMO-01,16.37
2023-03-28,DEMO-01,19.48
2023-03-29,DEMO-01,17.24
2023-03-30,DEMO-01,17.1
2023-03-31,DEMO-01,18.02
2023-04-01,DEMO-01,20.2
2023-04-02,DEMO-01,17.61
2023-04-03,DEMO-01,16.29
2023-04-04,DEMO-01,18.85
2023-04-05,DEMO-01,17.26
2023-04-06,DEMO-01,18.85
2023-04-07,DEMO-01,13.88
2023-04-08,DEMO-01,17.89
2023-04-09,DEMO-01,17.32
2023-04-10,DEMO-01,16.08
2023-04-11,DEMO-01,15.56
2023-04-12,DEMO-01,17.27
2023-04-13,DEMO-01,15.83
2023-04-14,DEMO-01,12.4
2023-04-15,DEMO-01,15.61
2023-04-16,DEMO-01,14.57
2023-04-17,DEMO-01,17.74
2023-04-18,DEMO-01,15.52
2023-04-19,DEMO-01,17.64
2023-04-20,DEMO-01,15.9
2023-04-21,DEMO-01,19.0
2023-04-22,DEMO-01,18.24
2023-04-23,DEMO-01,16.96
2023-04-24,DEMO-01,17.71
2023-04-25,DEMO-01,18.52
2023-04-26,DEMO-01,17.43
2023-04-27,DEMO-01,17.42
2023-04-28,DEMO-01,13.55
2023-04-29,DEMO-01,16.37
2023-04-30,DEMO-01,15.91
2023-05-01,DEMO-01,19.17
2023-05-02,DEMO-01,16.53
2023-05-03,DEMO-01,15.93
2023-05-04,DEMO-01,18.19
2023-05-05,DEMO-01,14.37
2023-05-06,DEMO-01,16.86
2023-05-07,DEMO-01,13.45
2023-05-08,DEMO-01,15.66
2023-05-09,DEMO-01,16.07
2023-05-10,DEMO-01,19.47
2023-05-11,DEMO-01,16.52
2023-05-12,DEMO-01,15.13
2023-05-13,DEMO-01,16.05
2023-05-14,DEMO-01,19.2
2023-05-15,DEMO-01,12.48
2023-05-16,DEMO-01,15.72
2023-05-17,DEMO-01,17.09
2023-05-18,DEMO-01,16.13
2023-05-19,DEMO-01,15.66
2023-05-20,DEMO-01,18.78
2023-05-21,DEMO-01,17.37
2023-05-22,DEMO-01,14.17
2023-05-23,DEMO-01,15.99
2023-05-24,DEMO-01,18.11
2023-05-25,DEMO-01,16.52
2023-05-26,DEMO-01,16.18
2023-05-27,DEMO-01,13.27
2023-05-28,DEMO-01,19.69
2023-05-29,DEMO-01,16.65
2023-05-30,DEMO-01,17.86
2023-05-31,DEMO-01,13.97
2023-06-01,DEMO-01,14.89
2023-06-02,DEMO-01,13.91
2023-06-03,DEMO-01,15.1
2023-06-04,DEMO-01,15.23
2023-06-05,DEMO-01,16.61
2023-06-06,DEMO-01,18.08
2023-06-07,DEMO-01,14.72
2023-06-08,DEMO-01,13.36
2023-06-09,DEMO-01,14.8
2023-06-10,DEMO-01,15.73
2023-06-11,DEMO-01,13.71
2023-06-12,DEMO-01,14.0
2023-06-13,DEMO-01,13.8
2023-06-14,DEMO-01,14.77
2023-06-15,DEMO-01,13.3
2023-06-16,DEMO-01,14.06
2023-06-17,DEMO-01,14.43
2023-06-18,DEMO-01,11.5
2023-06-19,DEMO-01,11.87
2023-06-20,DEMO-01,9.99
2023-06-21,DEMO-01,11.33
2023-06-22,DEMO-01,13.41
2023-06-23,DEMO-01,8.45
2023-06-24,DEMO-01,13.4
2023-06-25,DEMO-01,11.95
2023-06-26,DEMO-01,11.19
2023-06-27,DEMO-01,13.56
2023-06-28,DEMO-01,11.59
2023-06-29,DEMO-01,12.45
2023-06-30,DEMO-01,7.45
2023-07-01,DEMO-01,9.84
2023-07-02,DEMO-01,13.03
2023-07-03,DEMO-01,8.18
2023-07-04,DEMO-01,8.69
2023-07-05,DEMO-01,12.17
2023-07-06,DEMO-01,11.19
2023-07-07,DEMO-01,11.27
2023-07-08,DEMO-01,9.26
2023-07-09,DEMO-01,12.33
2023-07-10,DEMO-01,9.78
2023-07-11,DEMO-01,8.14
2023-07-12,DEMO-01,11.4
2023-07-13,DEMO-01,10.26
2023-07-14,DEMO-01,11.69
2023-07-15,DEMO-01,6.48
2023-07-16,DEMO-01,10.41
2023-07-17,DEMO-01,7.66
2023-07-18,DEMO-01,8.13
2023-07-19,DEMO-01,8.36
2023-07-20,DEMO-01,6.19
2023-07-21,DEMO-01,8.79
2023-07-22,DEMO-01,10.55
2023-07-23,DEMO-01,11.86
2023-07-24,DEMO-01,8.44
2023-07-25,DEMO-01,10.41
2023-07-26,DEMO-01,11.5
2023-07-27,DEMO-01,9.21
2023-07-28,DEMO-01,8.31
2023-07-29,DEMO-01,10.92
2023-07-30,DEMO-01,10.35
2023-07-31,DEMO-01,12.46
2023-08-01,DEMO-01,12.0
2023-08-02,DEMO-01,9.77
2023-08-03,DEMO-01,6.66
2023-08-04,DEMO-01,8.22
2023-08-05,DEMO-01,6.48
2023-08-06,DEMO-01,12.41
2023-08-07,DEMO-01,9.55
2023-08-08,DEMO-01,11.84
2023-08-09,DEMO-01,13.9
2023-08-10,DEMO-01,12.24
2023-08-11,DEMO-01,12.47
2023-08-12,DEMO-01,13.64
2023-08-13,DEMO-01,10.62
2023-08-14,DEMO-01,14.73
2023-08-15,DEMO-01,14.09
2023-08-16,DEMO-01,13.84
2023-08-17,DEMO-01,9.73
2023-08-18,DEMO-01,12.85
2023-08-19,DEMO-01,16.47
2023-08-20,DEMO-01,13.16
2023-08-21,DEMO-01,15.42
2023-08-22,DEMO-01,12.56
2023-08-23,DEMO-01,12.15
2023-08-24,DEMO-01,14.99
2023-08-25,DEMO-01,12.73
2023-08-26,DEMO-01,14.78
2023-08-27,DEMO-01,12.24
2023-08-28,DEMO-01,12.95
2023-08-29,DEMO-01,12.15
2023-08-30,DEMO-01,12.4
2023-08-31,DEMO-01,12.12
2023-09-01,DEMO-01,13.61
2023-09-02,DEMO-01,13.19
2023-09-03,DEMO-01,12.92
2023-09-04,DEMO-01,15.07
2023-09-05,DEMO-01,17.16
2023-09-06,DEMO-01,17.69
2023-09-07,DEMO-01,18.18
2023-09-08,DEMO-01,14.6
2023-09-09,DEMO-01,13.13
2023-09-10,DEMO-01,17.21
2023-09-11,DEMO-01,17.06
2023-09-12,DEMO-01,16.54
2023-09-13,DEMO-01,15.83
2023-09-14,DEMO-01,14.12
2023-09-15,DEMO-01,16.17
2023-09-16,DEMO-01,17.11
2023-09-17,DEMO-01,16.4
2023-09-18,DEMO-01,14.23
2023-09-19,DEMO-01,14.55
2023-09-20,DEMO-01,13.85
2023-09-21,DEMO-01,18.31
2023-09-22,DEMO-01,18.18
2023-09-23,DEMO-01,15.63
2023-09-24,DEMO-01,13.34
2023-09-25,DEMO-01,19.13
2023-09-26,DEMO-01,19.02
2023-09-27,DEMO-01,16.63
2023-09-28,DEMO-01,16.04
2023-09-29,DEMO-01,16.36
2023-09-30,DEMO-01,18.68
2023-10-01,DEMO-01,17.98
2023-10-02,DEMO-01,16.33
2023-10-03,DEMO-01,21.07
2023-10-04,DEMO-01,14.39
2023-10-05,DEMO-01,16.11
2023-10-06,DEMO-01,16.23
2023-10-07,DEMO-01,17.5
2023-10-08,DEMO-01,19.39
2023-10-09,DEMO-01,18.88
2023-10-10,DEMO-01,17.65
2023-10-11,DEMO-01,15.06
2023-10-12,DEMO-01,19.2
2023-10-13,DEMO-01,15.43
2023-10-14,DEMO-01,16.82
2023-10-15,DEMO-01,17.39
2023-10-16,DEMO-01,16.1
2023-10-17,DEMO-01,16.13
2023-10-18,DEMO-01,19.24
2023-10-19,DEMO-01,20.24
2023-10-20,DEMO-01,17.51
2023-10-21,DEMO-01,14.5
2023-10-22,DEMO-01,18.18
2023-10-23,DEMO-01,16.49
2023-10-24,DEMO-01,18.07
2023-10-25,DEMO-01,18.31
2023-10-26,DEMO-01,14.4
2023-10-27,DEMO-01,17.06
2023-10-28,DEMO-01,18.93
2023-10-29,DEMO-01,17.66
2023-10-30,DEMO-01,15.87
2023-10-31,DEMO-01,19.03
2023-11-01,DEMO-01,14.66
2023-11-02,DEMO-01,18.25
2023-11-03,DEMO-01,16.43
2023-11-04,DEMO-01,18.67
2023-11-05,DEMO-01,17.49
2023-11-06,DEMO-01,18.78
2023-11-07,DEMO-01,20.36
2023-11-08,DEMO-01,19.17
2023-11-09,DEMO-01,19.1
2023-11-10,DEMO-01,18.84
2023-11-11,DEMO-01,14.85
2023-11-12,DEMO-01,18.09
2023-11-13,DEMO-01,18.43
2023-11-14,DEMO-01,18.85
2023-11-15,DEMO-01,17.8
2023-11-16,DEMO-01,19.2
2023-11-17,DEMO-01,16.23
2023-11-18,DEMO-01,21.55
2023-11-19,DEMO-01,18.71
2023-11-20,DEMO-01,16.31
2023-11-21,DEMO-01,20.41
2023-11-22,DEMO-01,15.92
2023-11-23,DEMO-01,17.99
2023-11-24,DEMO-01,18.19
2023-11-25,DEMO-01,17.24
2023-11-26,DEMO-01,17.72
2023-11-27,DEMO-01,18.05
2023-11-28,DEMO-01,16.01
2023-11-29,DEMO-01,18.48
2023-11-30,DEMO-01,17.95
2023-12-01,DEMO-01,21.49
2023-12-02,DEMO-01,20.56
2023-12-03,DEMO-01,16.63
2023-12-04,DEMO-01,17.74
2023-12-05,DEMO-01,16.73
2023-12-06,DEMO-01,17.53
2023-12-07,DEMO-01,19.54
2023-12-08,DEMO-01,17.6
2023-12-09,DEMO-01,17.1
2023-12-10,DEMO-01,19.04
2023-12-11,DEMO-01,14.51
2023-12-12,DEMO-01,17.17
2023-12-13,DEMO-01,20.46
2023-12-14,DEMO-01,20.29
2023-12-15,DEMO-01,20.35
2023-12-16,DEMO-01,15.78
2023-12-17,DEMO-01,15.77
2023-12-18,DEMO-01,16.54
2023-12-19,DEMO-01,17.89
2023-12-20,DEMO-01,16.63
2023-12-21,DEMO-01,14.93
2023-12-22,DEMO-01,19.62
2023-12-23,DEMO-01,19.32
2023-12-24,DEMO-01,16.94
2023-12-25,DEMO-01,19.07
2023-12-26,DEMO-01,19.65
2023-12-27,DEMO-01,13.72
2023-12-28,DEMO-01,19.16
2023-12-29,DEMO-01,17.89
2023-12-30,DEMO-01,13.48
2023-12-31,DEMO-01,19.83
2024-01-01,DEMO-01,18.03
2024-01-02,DEMO-01,15.08
2024-01-03,DEMO-01,18.72
2024-01-04,DEMO-01,18.33
2024-01-05,DEMO-01,18.93
2024-01-06,DEMO-01,14.47
2024-01-07,DEMO-01,17.46
2024-01-08,DEMO-01,16.23
2024-01-09,DEMO-01,17.71
2024-01-10,DEMO-01,14.94
2024-01-11,DEMO-01,15.99
2024-01-12,DEMO-01,20.77
2024-01-13,DEMO-01,19.96
2024-01-14,DEMO-01,19.64
2024-01-15,DEMO-01,20.65
2024-01-16,DEMO-01,14.63
2024-01-17,DEMO-01,17.9
2024-01-18,DEMO-01,18.14
2024-01-19,DEMO-01,17.18
2024-01-20,DEMO-01,14.65
2024-01-21,DEMO-01,19.59
2024-01-22,DEMO-01,19.11
2024-01-23,DEMO-01,16.24
2024-01-24,DEMO-01,19.52
2024-01-25,DEMO-01,18.22
2024-01-26,DEMO-01,19.14
2024-01-27,DEMO-01,16.35
2024-01-28,DEMO-01,18.43
2024-01-29,DEMO-01,18.45
2024-01-30,DEMO-01,17.54
2024-01-31,DEMO-01,13.19
2024-02-01,DEMO-01,18.31
2024-02-02,DEMO-01,18.43
2024-02-03,DEMO-01,16.3
2024-02-04,DEMO-01,19.03
2024-02-05,DEMO-01,18.44
2024-02-06,DEMO-01,18.34
2024-02-07,DEMO-01,17.15
2024-02-08,DEMO-01,14.88
2024-02-09,DEMO-01,14.96
2024-02-10,DEMO-01,19.18
2024-02-11,DEMO-01,16.03
2024-02-12,DEMO-01,16.52
2024-02-13,DEMO-01,19.51
2024-02-14,DEMO-01,14.15
2024-02-15,DEMO-01,15.11
2024-02-16,DEMO-01,19.42
2024-02-17,DEMO-01,18.15
2024-02-18,DEMO-01,14.41
2024-02-19,DEMO-01,17.16
2024-02-20,DEMO-01,18.31
2024-02-21,DEMO-01,15.6
2024-02-22,DEMO-01,15.39
2024-02-23,DEMO-01,14.25
2024-02-24,DEMO-01,19.47
2024-02-25,DEMO-01,19.05
2024-02-26,DEMO-01,19.19
2024-02-27,DEMO-01,20.21
2024-02-28,DEMO-01,20.3
2024-02-29,DEMO-01,15.26
2024-03-01,DEMO-01,19.75
2024-03-02,DEMO-01,18.19
2024-03-03,DEMO-01,21.41
2024-03-04,DEMO-01,24.04
2024-03-05,DEMO-01,17.64
2024-03-06,DEMO-01,17.33
2024-03-07,DEMO-01,17.3
2024-03-08,DEMO-01,18.11
2024-03-09,DEMO-01,18.4
2024-03-10,DEMO-01,22.15
2024-03-11,DEMO-01,17.9
2024-03-12,DEMO-01,16.99
2024-03-13,DEMO-01,18.0
2024-03-14,DEMO-01,16.49
2024-03-15,DEMO-01,14.91
2024-03-16,DEMO-01,17.47
2024-03-17,DEMO-01,22.17
2024-03-18,DEMO-01,19.56
2024-03-19,DEMO-01,17.1
2024-03-20,DEMO-01,18.59
2024-03-21,DEMO-01,22.06
2024-03-22,DEMO-01,18.31
2024-03-23,DEMO-01,16.34
2024-03-24,DEMO-01,18.06
2024-03-25,DEMO-01,19.09
2024-03-26,DEMO-01,18.68
2024-03-27,DEMO-01,20.54
2024-03-28,DEMO-01,17.98
2024-03-29,DEMO-01,13.69
2024-03-30,DEMO-01,18.75
2024-03-31,DEMO-01,18.62
2024-04-01,DEMO-01,18.5
2024-04-02,DEMO-01,16.31
2024-04-03,DEMO-01,21.46
2024-04-04,DEMO-01,15.9
2024-04-05,DEMO-01,16.08
2024-04-06,DEMO-01,17.43
2024-04-07,DEMO-01,19.92
2024-04-08,DEMO-01,20.24
2024-04-09,DEMO-01,18.95
2024-04-10,DEMO-01,19.4
2024-04-11,DEMO-01,15.43
2024-04-12,DEMO-01,14.65
2024-04-13,DEMO-01,17.07
2024-04-14,DEMO-01,19.31
2024-04-15,DEMO-01,19.35
2024-04-16,DEMO-01,16.0
2024-04-17,DEMO-01,15.86
2024-04-18,DEMO-01,19.6
2024-04-19,DEMO-01,17.92
2024-04-20,DEMO-01,13.49
2024-04-21,DEMO-01,15.55
2024-04-22,DEMO-01,18.02
2024-04-23,DEMO-01,15.38
2024-04-24,DEMO-01,15.71
2024-04-25,DEMO-01,15.75
2024-04-26,DEMO-01,18.43
2024-04-27,DEMO-01,17.37
2024-04-28,DEMO-01,20.32
2024-04-29,DEMO-01,16.39
2024-04-30,DEMO-01,16.89
2024-05-01,DEMO-01,17.84
2024-05-02,DEMO-01,16.07
2024-05-03,DEMO-01,14.27
2024-05-04,DEMO-01,16.47
2024-05-05,DEMO-01,15.71
2024-05-06,DEMO-01,16.73
2024-05-07,DEMO-01,15.83
2024-05-08,DEMO-01,17.71
2024-05-09,DEMO-01,16.06
2024-05-10,DEMO-01,13.84
2024-05-11,DEMO-01,15.61
2024-05-12,DEMO-01,12.32
2024-05-13,DEMO-01,19.34
2024-05-14,DEMO-01,16.31
2024-05-15,DEMO-01,17.33
2024-05-16,DEMO-01,16.23
2024-05-17,DEMO-01,19.64
2024-05-18,DEMO-01,13.99
2024-05-19,DEMO-01,14.72
2024-05-20,DEMO-01,15.05
2024-05-21,DEMO-01,15.1
2024-05-22,DEMO-01,14.61
2024-05-23,DEMO-01,14.86
2024-05-24,DEMO-01,19.27
2024-05-25,DEMO-01,19.35
2024-05-26,DEMO-01,16.32
2024-05-27,DEMO-01,15.12
2024-05-28,DEMO-01,16.85
2024-05-29,DEMO-01,15.82
2024-05-30,DEMO-01,15.53
2024-05-31,DEMO-01,14.35
2024-06-01,DEMO-01,13.96
2024-06-02,DEMO-01,15.72
2024-06-03,DEMO-01,15.13
2024-06-04,DEMO-01,17.42
2024-06-05,DEMO-01,14.21
2024-06-06,DEMO-01,12.88
2024-06-07,DEMO-01,11.85
2024-06-08,DEMO-01,13.0
2024-06-09,DEMO-01,11.17
2024-06-10,DEMO-01,12.71
2024-06-11,DEMO-01,13.31
2024-06-12,DEMO-01,12.6
2024-06-13,DEMO-01,14.27
2024-06-14,DEMO-01,16.84
2024-06-15,DEMO-01,9.49
2024-06-16,DEMO-01,11.54
2024-06-17,DEMO-01,12.77
2024-06-18,DEMO-01,8.18
2024-06-19,DEMO-01,12.49
2024-06-20,DEMO-01,11.1
2024-06-21,DEMO-01,12.31
2024-06-22,DEMO-01,9.75
2024-06-23,DEMO-01,15.89
2024-06-24,DEMO-01,8.53
2024-06-25,DEMO-01,11.4
2024-06-26,DEMO-01,10.94
2024-06-27,DEMO-01,10.99
2024-06-28,DEMO-01,10.68
2024-06-29,DEMO-01,12.47
2024-06-30,DEMO-01,12.52
2024-07-01,DEMO-01,15.97
2024-07-02,DEMO-01,9.43
2024-07-03,DEMO-01,8.45
2024-07-04,DEMO-01,11.89
2024-07-05,DEMO-01,13.28
2024-07-06,DEMO-01,13.55
2024-07-07,DEMO-01,11.76
2024-07-08,DEMO-01,9.93
2024-07-09,DEMO-01,7.99
2024-07-10,DEMO-01,8.99
2024-07-11,DEMO-01,9.87
2024-07-12,DEMO-01,13.61
2024-07-13,DEMO-01,10.79
2024-07-14,DEMO-01,7.91
2024-07-15,DEMO-01,10.43
2024-07-16,DEMO-01,8.9
2024-07-17,DEMO-01,9.68
2024-07-18,DEMO-01,10.42
2024-07-19,DEMO-01,4.46
2024-07-20,DEMO-01,10.85
2024-07-21,DEMO-01,13.61
2024-07-22,DEMO-01,8.84
2024-07-23,DEMO-01,7.59
2024-07-24,DEMO-01,10.77
2024-07-25,DEMO-01,13.2
2024-07-26,DEMO-01,11.94
2024-07-27,DEMO-01,8.57
2024-07-28,DEMO-01,14.89
2024-07-29,DEMO-01,11.83
2024-07-30,DEMO-01,7.1
2024-07-31,DEMO-01,12.27
2024-08-01,DEMO-01,11.78
2024-08-02,DEMO-01,11.38
2024-08-03,DEMO-01,8.49
2024-08-04,DEMO-01,10.39
2024-08-05,DEMO-01,12.27
2024-08-06,DEMO-01,13.76
2024-08-07,DEMO-01,11.38
2024-08-08,DEMO-01,12.14
2024-08-09,DEMO-01,8.5
2024-08-10,DEMO-01,14.5
2024-08-11,DEMO-01,10.7
2024-08-12,DEMO-01,11.96
2024-08-13,DEMO-01,10.9
2024-08-14,DEMO-01,12.59
2024-08-15,DEMO-01,15.56
2024-08-16,DEMO-01,11.12
2024-08-17,DEMO-01,13.89
2024-08-18,DEMO-01,13.99
2024-08-19,DEMO-01,11.81
2024-08-20,DEMO-01,9.91
2024-08-21,DEMO-01,11.72
2024-08-22,DEMO-01,14.06
2024-08-23,DEMO-01,11.66
2024-08-24,DEMO-01,13.56
2024-08-25,DEMO-01,9.26
2024-08-26,DEMO-01,13.93
2024-08-27,DEMO-01,13.71
2024-08-28,DEMO-01,16.92
2024-08-29,DEMO-01,12.83
2024-08-30,DEMO-01,11.18
2024-08-31,DEMO-01,12.07
2024-09-01,DEMO-01,13.45
2024-09-02,DEMO-01,10.35
2024-09-03,DEMO-01,13.49
2024-09-04,DEMO-01,15.15
2024-09-05,DEMO-01,12.92
2024-09-06,DEMO-01,16.39
2024-09-07,DEMO-01,15.51
2024-09-08,DEMO-01,18.45
2024-09-09,DEMO-01,16.26
2024-09-10,DEMO-01,15.46
2024-09-11,DEMO-01,19.41
2024-09-12,DEMO-01,14.42
2024-09-13,DEMO-01,15.57
2024-09-14,DEMO-01,13.59
2024-09-15,DEMO-01,18.69
2024-09-16,DEMO-01,12.92
2024-09-17,DEMO-01,14.21
2024-09-18,DEMO-01,14.1
2024-09-19,DEMO-01,15.01
2024-09-20,DEMO-01,16.26
2024-09-21,DEMO-01,16.07
2024-09-22,DEMO-01,17.32
2024-09-23,DEMO-01,14.71
2024-09-24,DEMO-01,15.12
2024-09-25,DEMO-01,17.02
2024-09-26,DEMO-01,15.11
2024-09-27,DEMO-01,14.45
2024-09-28,DEMO-01,14.2
2024-09-29,DEMO-01,16.56
2024-09-30,DEMO-01,16.89
2024-10-01,DEMO-01,16.85
2024-10-02,DEMO-01,19.3
2024-10-03,DEMO-01,15.53
2024-10-04,DEMO-01,17.19
2024-10-05,DEMO-01,19.66
2024-10-06,DEMO-01,19.07
2024-10-07,DEMO-01,15.88
2024-10-08,DEMO-01,18.84
2024-10-09,DEMO-01,20.61
2024-10-10,DEMO-01,20.42
2024-10-11,DEMO-01,19.24
2024-10-12,DEMO-01,18.21
2024-10-13,DEMO-01,18.02
2024-10-14,DEMO-01,20.17
2024-10-15,DEMO-01,15.19
2024-10-16,DEMO-01,19.88
2024-10-17,DEMO-01,17.88
2024-10-18,DEMO-01,16.0
2024-10-19,DEMO-01,15.51
2024-10-20,DEMO-01,14.63
2024-10-21,DEMO-01,18.74
2024-10-22,DEMO-01,20.63
2024-10-23,DEMO-01,16.81
2024-10-24,DEMO-01,16.19
2024-10-25,DEMO-01,19.96
2024-10-26,DEMO-01,17.96
2024-10-27,DEMO-01,19.35
2024-10-28,DEMO-01,16.06
2024-10-29,DEMO-01,19.01
2024-10-30,DEMO-01,21.07
2024-10-31,DEMO-01,15.5
2024-11-01,DEMO-01,17.29
2024-11-02,DEMO-01,17.23
2024-11-03,DEMO-01,19.24
2024-11-04,DEMO-01,20.12
2024-11-05,DEMO-01,16.6
2024-11-06,DEMO-01,22.36
2024-11-07,DEMO-01,18.02
2024-11-08,DEMO-01,16.9
2024-11-09,DEMO-01,20.5
2024-11-10,DEMO-01,18.19
2024-11-11,DEMO-01,17.0
2024-11-12,DEMO-01,16.97
2024-11-13,DEMO-01,21.73
2024-11-14,DEMO-01,16.13
2024-11-15,DEMO-01,19.98
2024-11-16,DEMO-01,16.5
2024-11-17,DEMO-01,16.84
2024-11-18,DEMO-01,17.82
2024-11-19,DEMO-01,18.58
2024-11-20,DEMO-01,14.97
2024-11-21,DEMO-01,16.99
2024-11-22,DEMO-01,19.78
2024-11-23,DEMO-01,19.82
2024-11-24,DEMO-01,17.41
2024-11-25,DEMO-01,15.87
2024-11-26,DEMO-01,18.37
2024-11-27,DEMO-01,19.44
2024-11-28,DEMO-01,18.13
2024-11-29,DEMO-01,20.28
2024-11-30,DEMO-01,17.5
2024-12-01,DEMO-01,15.62
2024-12-02,DEMO-01,16.92
2024-12-03,DEMO-01,17.99
2024-12-04,DEMO-01,16.73
2024-12-05,DEMO-01,17.01
2024-12-06,DEMO-01,19.68
2024-12-07,DEMO-01,16.19
2024-12-08,DEMO-01,15.6
2024-12-09,DEMO-01,19.41
2024-12-10,DEMO-01,19.16
2024-12-11,DEMO-01,16.13
2024-12-12,DEMO-01,19.27
2024-12-13,DEMO-01,15.94
2024-12-14,DEMO-01,16.65
2024-12-15,DEMO-01,16.01
2024-12-16,DEMO-01,17.03
2024-12-17,DEMO-01,19.01
2024-12-18,DEMO-01,18.44
2024-12-19,DEMO-01,16.53
2024-12-20,DEMO-01,18.34
2024-12-21,DEMO-01,18.64
2024-12-22,DEMO-01,19.72
2024-12-23,DEMO-01,18.65
2024-12-24,DEMO-01,19.28
2024-12-25,DEMO-01,17.88
2024-12-26,DEMO-01,16.53
2024-12-27,DEMO-01,18.29
2024-12-28,DEMO-01,20.13
2024-12-29,DEMO-01,19.89
2024-12-30,DEMO-01,13.35
2024-12-31,DEMO-01,19.13
2025-01-01,DEMO-01,17.11
2025-01-02,DEMO-01,18.72
2025-01-03,DEMO-01,15.54
2025-01-04,DEMO-01,17.23
2025-01-05,DEMO-01,15.07
2025-01-06,DEMO-01,16.87
2025-01-07,DEMO-01,19.05
2025-01-08,DEMO-01,18.75
2025-01-09,DEMO-01,21.86
2025-01-10,DEMO-01,17.07
2025-01-11,DEMO-01,16.42
2025-01-12,DEMO-01,20.49
2025-01-13,DEMO-01,14.91
2025-01-14,DEMO-01,18.35
2025-01-15,DEMO-01,18.91
2025-01-16,DEMO-01,13.84
2025-01-17,DEMO-01,16.04
2025-01-18,DEMO-01,15.54
2025-01-19,DEMO-01,19.5
2025-01-20,DEMO-01,16.8
2025-01-21,DEMO-01,17.49
2025-01-22,DEMO-01,15.1
2025-01-23,DEMO-01,16.54
2025-01-24,DEMO-01,16.58
2025-01-25,DEMO-01,17.61
2025-01-26,DEMO-01,17.04
2025-01-27,DEMO-01,20.6
2025-01-28,DEMO-01,19.24
2025-01-29,DEMO-01,14.8
2025-01-30,DEMO-01,19.79
2025-01-31,DEMO-01,19.58
2025-02-01,DEMO-01,18.12
2025-02-02,DEMO-01,19.77
2025-02-03,DEMO-01,20.16
2025-02-04,DEMO-01,17.13
2025-02-05,DEMO-01,15.56
2025-02-06,DEMO-01,19.02
2025-02-07,DEMO-01,16.53
2025-02-08,DEMO-01,18.47
2025-02-09,DEMO-01,16.13
2025-02-10,DEMO-01,19.75
2025-02-11,DEMO-01,16.42
2025-02-12,DEMO-01,17.62
2025-02-13,DEMO-01,17.5
2025-02-14,DEMO-01,15.45
