hole_id,x,y,collar_z,depth,Mn_pct,Fe_pct,SiO2_pct,density
BH-040,705.98,166.98,232.46,86.81,7.54,14.57,36.28,3.006
BH-041,366.39,544.62,235.58,106.11,3.8,15.59,39.68,2.914
BH-042,173.8,154.94,244.53,108.94,8.54,14.87,35.9,3.038
BH-043,252.53,88.74,242.62,84.37,11.26,14.39,34.83,3.108
BH-044,460.21,485.42,234.42,92.97,4.46,15.64,38.76,2.932
BH-045,154.35,105.84,244.03,119.5,4.29,15.44,38.64,2.925
BH-046,671.03,120.39,234.48,54.58,3.84,16.24,39.63,2.922
BH-047,596.47,355.65,231.91,54.37,5.38,15.28,38.29,2.954
BH-048,566.79,509.75,232.16,52.02,16.41,13.74,30.36,3.244
BH-049,348.39,130.0,240.02,97.63,34.8,8.86,16.42,3.701
BH-050,496.75,193.78,239.87,78.49,8.37,14.94,36.1,3.034
BH-051,463.91,455.35,236.55,106.95,6.1,15.28,37.39,2.974
BH-052,513.88,564.22,232.56,98.7,4.13,15.72,39.23,2.924
BH-053,84.18,300.42,241.74,71.69,36.39,9.89,15.31,3.757
BH-054,336.01,100.58,239.08,116.87,35.51,10.09,16.25,3.735
BH-055,51.63,27.8,248.52,106.0,3.89,16.03,39.29,2.921
BH-056,395.43,148.61,239.49,66.64,5.11,15.77,38.82,2.952
BH-057,270.69,93.82,242.72,74.14,4.96,16.07,38.73,2.952
BH-058,129.84,399.49,238.25,70.16,40.28,9.27,13.19,3.859
BH-059,98.59,88.23,246.56,57.61,4.23,15.55,38.91,2.925
BH-060,466.61,303.54,236.64,56.82,6.41,15.54,37.52,2.986
BH-061,149.65,408.79,238.74,119.89,36.09,10.21,15.93,3.753
BH-062,723.09,345.43,230.13,80.03,1.56,15.99,41.81,2.856
BH-063,461.61,131.87,238.5,75.67,37.05,10.1,16.05,3.778
BH-064,283.62,470.31,237.33,103.37,4.68,16.18,38.5,2.945
BH-065,469.1,420.63,234.07,89.24,16.67,13.23,29.89,3.246
BH-066,37.33,433.83,241.97,119.89,20.1,12.54,27.66,3.333
BH-067,748.51,93.39,233.03,107.42,7.87,15.13,36.22,3.022
BH-068,386.55,89.3,240.2,83.35,35.87,10.24,16.33,3.747
BH-069,614.88,539.44,232.67,75.11,13.13,14.21,32.33,3.158
BH-070,82.87,242.64,239.75,123.93,30.45,11.66,20.55,3.612
BH-071,389.86,188.53,238.36,102.42,43.4,8.91,10.47,3.942
BH-072,392.94,293.61,237.67,121.1,13.1,14.01,32.82,3.155
BH-073,732.75,391.2,230.56,54.48,3.87,15.63,38.4,2.916
BH-074,454.51,555.15,232.6,113.04,3.83,15.77,38.8,2.916
BH-075,379.85,180.41,236.36,95.97,42.15,9.31,12.44,3.912
BH-076,222.9,537.89,238.03,54.75,3.82,17.05,40.12,2.932
BH-077,271.99,33.92,245.29,92.06,7.39,14.86,36.79,3.005
BH-078,415.71,330.91,234.25,99.89,6.75,15.31,36.92,2.993
BH-079,353.57,375.03,238.43,45.98,3.8,16.01,39.15,2.919
BH-080,36.43,79.3,245.9,81.35,5.64,15.46,37.45,2.963
