date,mine_id,rainfall_mm,soil_moisture,NDVI,LST
2023-02-28,DEMO-01,0.0,0.05,0.217,25.4
2023-03-01,DEMO-01,0.0,0.05,0.217,25.34
2023-03-02,DEMO-01,0.0,0.05,0.216,22.3
2023-03-03,DEMO-01,0.0,0.05,0.216,25.55
2023-03-04,DEMO-01,0.0,0.05,0.215,26.6
2023-03-05,DEMO-01,0.4,0.05,0.215,26.03
2023-03-06,DEMO-01,0.0,0.05,0.214,27.59
2023-03-07,DEMO-01,0.0,0.05,0.214,29.1
2023-03-08,DEMO-01,0.0,0.05,0.214,27.98
2023-03-09,DEMO-01,1.28,0.056,0.214,28.72
2023-03-10,DEMO-01,0.0,0.05,0.214,29.02
2023-03-11,DEMO-01,1.45,0.058,0.214,26.06
2023-03-12,DEMO-01,0.0,0.05,0.214,28.31
2023-03-13,DEMO-01,0.0,0.05,0.213,29.2
2023-03-14,DEMO-01,0.0,0.05,0.213,27.31
2023-03-15,DEMO-01,0.0,0.05,0.213,26.93
2023-03-16,DEMO-01,0.4,0.05,0.213,28.87
2023-03-17,DEMO-01,0.0,0.05,0.212,26.2
2023-03-18,DEMO-01,0.4,0.05,0.212,26.84
2023-03-19,DEMO-01,0.0,0.05,0.212,27.58
2023-03-20,DEMO-01,0.0,0.05,0.212,29.27
2023-03-21,DEMO-01,0.0,0.05,0.212,29.06
2023-03-22,DEMO-01,0.0,0.05,0.212,30.33
2023-03-23,DEMO-01,0.0,0.05,0.212,27.72
2023-03-24,DEMO-01,2.66,0.071,0.213,27.6
2023-03-25,DEMO-01,0.0,0.058,0.213,29.99
2023-03-26,DEMO-01,0.0,0.05,0.213,28.27
2023-03-27,DEMO-01,6.88,0.111,0.217,28.24
2023-03-28,DEMO-01,2.25,0.117,0.22,26.9
2023-03-29,DEMO-01,1.82,0.117,0.223,30.06
2023-03-30,DEMO-01,0.4,0.101,0.225,32.03
2023-03-31,DEMO-01,1.28,0.098,0.227,28.51
2023-04-01,DEMO-01,0.4,0.085,0.227,31.56
2023-04-02,DEMO-01,0.0,0.07,0.227,30.2
2023-04-03,DEMO-01,0.0,0.057,0.226,27.95
2023-04-04,DEMO-01,0.0,0.05,0.224,29.29
2023-04-05,DEMO-01,0.02,0.05,0.223,29.34
2023-04-06,DEMO-01,0.0,0.05,0.222,30.36
2023-04-07,DEMO-01,2.42,0.069,0.222,31.37
2023-04-08,DEMO-01,0.0,0.056,0.221,33.66
2023-04-09,DEMO-01,0.4,0.051,0.22,29.17
2023-04-10,DEMO-01,0.0,0.05,0.219,30.65
2023-04-11,DEMO-01,0.4,0.05,0.218,30.17
2023-04-12,DEMO-01,0.0,0.05,0.218,29.81
2023-04-13,DEMO-01,0.0,0.05,0.217,31.84
2023-04-14,DEMO-01,0.0,0.05,0.216,31.84
2023-04-15,DEMO-01,0.0,0.05,0.216,29.42
2023-04-16,DEMO-01,8.51,0.124,0.22,31.58
2023-04-17,DEMO-01,0.0,0.102,0.222,30.52
2023-04-18,DEMO-01,0.0,0.083,0.223,32.35
2023-04-19,DEMO-01,0.0,0.068,0.223,34.23
2023-04-20,DEMO-01,0.0,0.056,0.222,33.22
2023-04-21,DEMO-01,0.0,0.05,0.221,32.94
2023-04-22,DEMO-01,0.0,0.05,0.22,32.07
2023-04-23,DEMO-01,0.4,0.05,0.219,33.0
2023-04-24,DEMO-01,0.57,0.05,0.218,33.8
2023-04-25,DEMO-01,0.0,0.05,0.218,33.81
2023-04-26,DEMO-01,1.22,0.055,0.217,33.05
2023-04-27,DEMO-01,2.29,0.072,0.218,33.54
2023-04-28,DEMO-01,0.4,0.064,0.218,31.62
2023-04-29,DEMO-01,0.4,0.057,0.218,32.54
2023-04-30,DEMO-01,0.0,0.05,0.217,34.68
2023-05-01,DEMO-01,0.0,0.05,0.217,34.97
2023-05-02,DEMO-01,0.0,0.05,0.216,34.02
2023-05-03,DEMO-01,0.4,0.05,0.216,36.03
2023-05-04,DEMO-01,0.0,0.05,0.215,34.79
2023-05-05,DEMO-01,0.0,0.05,0.215,33.84
2023-05-06,DEMO-01,0.4,0.05,0.214,32.53
2023-05-07,DEMO-01,0.0,0.05,0.214,36.36
2023-05-08,DEMO-01,0.0,0.05,0.214,35.51
2023-05-09,DEMO-01,0.0,0.05,0.213,37.02
2023-05-10,DEMO-01,0.0,0.05,0.213,37.62
2023-05-11,DEMO-01,0.0,0.05,0.213,32.86
2023-05-12,DEMO-01,0.0,0.05,0.213,32.93
2023-05-13,DEMO-01,3.65,0.081,0.215,30.56
2023-05-14,DEMO-01,0.0,0.067,0.215,36.15
2023-05-15,DEMO-01,3.52,0.094,0.218,35.62
2023-05-16,DEMO-01,20.84,0.228,0.228,33.82
2023-05-17,DEMO-01,0.0,0.187,0.235,33.32
2023-05-18,DEMO-01,0.0,0.153,0.239,34.96
2023-05-19,DEMO-01,0.4,0.13,0.241,35.37
2023-05-20,DEMO-01,0.0,0.107,0.241,36.28
2023-05-21,DEMO-01,0.4,0.093,0.241,35.58
2023-05-22,DEMO-01,0.0,0.076,0.24,36.19
2023-05-23,DEMO-01,0.0,0.062,0.238,35.12
2023-05-24,DEMO-01,0.0,0.051,0.235,36.98
2023-05-25,DEMO-01,2.39,0.069,0.234,36.09
2023-05-26,DEMO-01,0.0,0.057,0.232,33.72
2023-05-27,DEMO-01,0.0,0.05,0.23,37.35
2023-05-28,DEMO-01,0.0,0.05,0.228,37.14
2023-05-29,DEMO-01,0.93,0.052,0.226,36.03
2023-05-30,DEMO-01,7.24,0.116,0.229,35.39
2023-05-31,DEMO-01,19.19,0.239,0.239,36.58
2023-06-01,DEMO-01,2.58,0.225,0.247,33.02
2023-06-02,DEMO-01,0.0,0.185,0.252,37.21
2023-06-03,DEMO-01,17.37,0.288,0.262,33.72
2023-06-04,DEMO-01,25.2,0.402,0.279,35.43
2023-06-05,DEMO-01,0.4,0.334,0.29,35.61
2023-06-06,DEMO-01,7.22,0.347,0.3,33.27
2023-06-07,DEMO-01,1.09,0.297,0.307,34.68
2023-06-08,DEMO-01,0.0,0.244,0.309,36.87
2023-06-09,DEMO-01,0.5,0.206,0.309,35.09
2023-06-10,DEMO-01,0.0,0.169,0.307,34.53
2023-06-11,DEMO-01,0.0,0.138,0.303,34.5
2023-06-12,DEMO-01,0.0,0.114,0.297,36.26
2023-06-13,DEMO-01,6.48,0.16,0.295,37.39
2023-06-14,DEMO-01,0.0,0.131,0.292,32.32
2023-06-15,DEMO-01,8.32,0.189,0.293,38.69
2023-06-16,DEMO-01,0.0,0.155,0.291,35.55
2023-06-17,DEMO-01,3.49,0.166,0.29,35.83
2023-06-18,DEMO-01,42.83,0.336,0.3,31.91
2023-06-19,DEMO-01,7.5,0.35,0.31,34.7
2023-06-20,DEMO-01,0.0,0.287,0.314,35.41
2023-06-21,DEMO-01,0.0,0.235,0.316,33.64
2023-06-22,DEMO-01,6.41,0.259,0.318,33.54
2023-06-23,DEMO-01,44.0,0.413,0.33,33.95
2023-06-24,DEMO-01,0.0,0.339,0.336,32.83
2023-06-25,DEMO-01,9.75,0.37,0.343,34.98
2023-06-26,DEMO-01,21.13,0.455,0.355,33.1
2023-06-27,DEMO-01,0.0,0.373,0.361,33.56
2023-06-28,DEMO-01,63.02,0.519,0.375,33.69
2023-06-29,DEMO-01,0.4,0.431,0.382,33.48
2023-06-30,DEMO-01,58.54,0.565,0.397,29.57
2023-07-01,DEMO-01,47.39,0.667,0.417,31.55
2023-07-02,DEMO-01,7.19,0.62,0.431,33.22
2023-07-03,DEMO-01,0.0,0.508,0.438,34.73
2023-07-04,DEMO-01,28.63,0.592,0.449,33.12
2023-07-05,DEMO-01,0.0,0.485,0.452,34.99
2023-07-06,DEMO-01,0.0,0.398,0.449,34.47
2023-07-07,DEMO-01,13.1,0.44,0.45,32.82
2023-07-08,DEMO-01,21.08,0.513,0.455,34.18
2023-07-09,DEMO-01,17.1,0.555,0.461,33.35
2023-07-10,DEMO-01,29.47,0.633,0.473,32.02
2023-07-11,DEMO-01,6.18,0.583,0.479,36.23
2023-07-12,DEMO-01,23.37,0.638,0.489,32.9
2023-07-13,DEMO-01,70.32,0.738,0.504,31.65
2023-07-14,DEMO-01,0.0,0.606,0.509,36.23
2023-07-15,DEMO-01,26.57,0.666,0.517,34.65
2023-07-16,DEMO-01,101.62,0.766,0.531,29.11
2023-07-17,DEMO-01,30.21,0.807,0.546,32.61
2023-07-18,DEMO-01,93.69,0.88,0.564,28.55
2023-07-19,DEMO-01,31.5,0.904,0.582,32.19
2023-07-20,DEMO-01,101.32,0.96,0.601,25.14
2023-07-21,DEMO-01,45.87,0.98,0.62,32.65
2023-07-22,DEMO-01,20.95,0.955,0.635,33.55
2023-07-23,DEMO-01,1.05,0.795,0.639,35.62
2023-07-24,DEMO-01,50.24,0.859,0.646,31.24
2023-07-25,DEMO-01,0.4,0.709,0.643,35.46
2023-07-26,DEMO-01,124.06,0.801,0.647,24.89
2023-07-27,DEMO-01,84.24,0.875,0.654,27.7
2023-07-28,DEMO-01,25.29,0.883,0.662,29.57
2023-07-29,DEMO-01,23.98,0.886,0.668,32.96
2023-07-30,DEMO-01,30.34,0.906,0.676,31.69
2023-07-31,DEMO-01,8.68,0.827,0.678,32.89
2023-08-01,DEMO-01,0.0,0.678,0.67,35.2
2023-08-02,DEMO-01,16.16,0.687,0.663,33.15
2023-08-03,DEMO-01,59.43,0.775,0.663,29.07
2023-08-04,DEMO-01,69.72,0.851,0.668,34.03
2023-08-05,DEMO-01,36.94,0.889,0.674,32.5
2023-08-06,DEMO-01,6.47,0.796,0.674,32.97
2023-08-07,DEMO-01,0.0,0.652,0.665,33.99
2023-08-08,DEMO-01,0.4,0.54,0.65,34.7
2023-08-09,DEMO-01,0.0,0.443,0.63,34.76
2023-08-10,DEMO-01,0.0,0.363,0.608,36.87
2023-08-11,DEMO-01,2.26,0.324,0.585,34.83
2023-08-12,DEMO-01,0.0,0.265,0.561,37.72
2023-08-13,DEMO-01,56.3,0.428,0.549,31.04
2023-08-14,DEMO-01,1.85,0.372,0.536,35.69
2023-08-15,DEMO-01,0.4,0.31,0.519,36.65
2023-08-16,DEMO-01,0.0,0.254,0.501,36.96
2023-08-17,DEMO-01,0.4,0.213,0.482,37.13
2023-08-18,DEMO-01,11.63,0.28,0.469,34.25
2023-08-19,DEMO-01,0.0,0.229,0.455,35.39
2023-08-20,DEMO-01,18.73,0.33,0.448,30.79
2023-08-21,DEMO-01,0.0,0.271,0.438,35.19
2023-08-22,DEMO-01,0.0,0.222,0.426,37.03
2023-08-23,DEMO-01,18.54,0.324,0.421,35.63
2023-08-24,DEMO-01,0.0,0.265,0.414,35.44
2023-08-25,DEMO-01,24.33,0.381,0.414,36.45
2023-08-26,DEMO-01,9.3,0.401,0.415,34.5
2023-08-27,DEMO-01,0.0,0.329,0.412,34.64
2023-08-28,DEMO-01,0.0,0.27,0.406,35.01
2023-08-29,DEMO-01,0.0,0.221,0.397,34.11
2023-08-30,DEMO-01,29.03,0.357,0.397,34.76
2023-08-31,DEMO-01,24.17,0.456,0.404,34.61
2023-09-01,DEMO-01,8.87,0.459,0.41,36.03
2023-09-02,DEMO-01,4.97,0.43,0.414,34.85
2023-09-03,DEMO-01,5.73,0.412,0.416,35.31
2023-09-04,DEMO-01,0.0,0.338,0.413,32.7
2023-09-05,DEMO-01,0.0,0.277,0.407,36.28
2023-09-06,DEMO-01,4.08,0.272,0.401,35.63
2023-09-07,DEMO-01,0.0,0.223,0.393,34.2
2023-09-08,DEMO-01,0.0,0.183,0.383,35.59
2023-09-09,DEMO-01,2.75,0.181,0.374,35.19
2023-09-10,DEMO-01,0.0,0.149,0.364,38.18
2023-09-11,DEMO-01,9.56,0.212,0.358,33.61
2023-09-12,DEMO-01,0.0,0.174,0.351,36.13
2023-09-13,DEMO-01,0.0,0.143,0.343,34.12
2023-09-14,DEMO-01,7.05,0.188,0.339,34.39
2023-09-15,DEMO-01,9.48,0.245,0.338,35.38
2023-09-16,DEMO-01,0.4,0.205,0.335,35.23
2023-09-17,DEMO-01,2.9,0.201,0.332,35.32
2023-09-18,DEMO-01,0.4,0.17,0.327,35.91
2023-09-19,DEMO-01,0.0,0.139,0.321,34.73
2023-09-20,DEMO-01,23.3,0.274,0.324,35.16
2023-09-21,DEMO-01,0.4,0.229,0.324,34.87
2023-09-22,DEMO-01,0.0,0.188,0.321,35.13
2023-09-23,DEMO-01,2.5,0.183,0.318,35.56
2023-09-24,DEMO-01,0.4,0.155,0.314,35.44
2023-09-25,DEMO-01,0.0,0.127,0.308,35.98
2023-09-26,DEMO-01,0.0,0.104,0.302,35.46
2023-09-27,DEMO-01,4.13,0.13,0.298,35.34
2023-09-28,DEMO-01,0.8,0.117,0.293,34.36
2023-09-29,DEMO-01,0.4,0.1,0.288,33.27
2023-09-30,DEMO-01,0.0,0.082,0.283,32.71
2023-10-01,DEMO-01,0.4,0.072,0.277,32.26
2023-10-02,DEMO-01,0.0,0.059,0.271,37.01
2023-10-03,DEMO-01,0.4,0.053,0.265,31.33
2023-10-04,DEMO-01,0.4,0.05,0.26,36.01
2023-10-05,DEMO-01,0.4,0.05,0.255,33.09
2023-10-06,DEMO-01,0.0,0.05,0.25,35.83
2023-10-07,DEMO-01,0.0,0.05,0.246,30.98
2023-10-08,DEMO-01,0.0,0.05,0.243,33.64
2023-10-09,DEMO-01,0.0,0.05,0.24,35.9
2023-10-10,DEMO-01,0.0,0.05,0.237,34.76
2023-10-11,DEMO-01,0.0,0.05,0.234,33.18
2023-10-12,DEMO-01,0.0,0.05,0.232,30.82
2023-10-13,DEMO-01,0.4,0.05,0.23,31.55
2023-10-14,DEMO-01,0.0,0.05,0.228,35.26
2023-10-15,DEMO-01,0.4,0.05,0.226,32.68
2023-10-16,DEMO-01,0.35,0.05,0.225,32.96
2023-10-17,DEMO-01,0.0,0.05,0.223,33.36
2023-10-18,DEMO-01,0.0,0.05,0.222,31.02
2023-10-19,DEMO-01,0.4,0.05,0.221,33.26
2023-10-20,DEMO-01,0.4,0.05,0.22,31.98
2023-10-21,DEMO-01,0.0,0.05,0.219,32.88
2023-10-22,DEMO-01,0.4,0.05,0.218,31.51
2023-10-23,DEMO-01,0.0,0.05,0.218,30.02
2023-10-24,DEMO-01,3.03,0.075,0.218,31.3
2023-10-25,DEMO-01,0.0,0.062,0.218,32.86
2023-10-26,DEMO-01,0.0,0.051,0.218,32.39
2023-10-27,DEMO-01,0.4,0.05,0.217,31.72
2023-10-28,DEMO-01,0.0,0.05,0.216,32.83
2023-10-29,DEMO-01,0.0,0.05,0.216,31.16
2023-10-30,DEMO-01,0.0,0.05,0.215,31.39
2023-10-31,DEMO-01,0.0,0.05,0.215,30.51
2023-11-01,DEMO-01,1.81,0.062,0.215,32.28
2023-11-02,DEMO-01,0.4,0.056,0.215,31.3
2023-11-03,DEMO-01,4.27,0.092,0.217,29.74
2023-11-04,DEMO-01,0.0,0.076,0.218,28.57
2023-11-05,DEMO-01,0.0,0.062,0.218,32.07
2023-11-06,DEMO-01,0.0,0.051,0.218,29.35
2023-11-07,DEMO-01,0.0,0.05,0.217,30.36
2023-11-08,DEMO-01,0.0,0.05,0.216,33.42
2023-11-09,DEMO-01,0.4,0.05,0.216,31.09
2023-11-10,DEMO-01,1.27,0.056,0.216,32.04
2023-11-11,DEMO-01,0.0,0.05,0.215,28.98
2023-11-12,DEMO-01,0.0,0.05,0.215,31.11
2023-11-13,DEMO-01,0.0,0.05,0.214,29.52
2023-11-14,DEMO-01,0.82,0.051,0.214,29.81
2023-11-15,DEMO-01,0.0,0.05,0.214,32.05
2023-11-16,DEMO-01,0.4,0.05,0.214,28.68
2023-11-17,DEMO-01,0.0,0.05,0.213,29.0
2023-11-18,DEMO-01,0.0,0.05,0.213,27.58
2023-11-19,DEMO-01,2.37,0.068,0.214,29.82
2023-11-20,DEMO-01,0.0,0.056,0.214,27.81
2023-11-21,DEMO-01,0.0,0.05,0.214,29.91
2023-11-22,DEMO-01,0.4,0.05,0.213,26.02
2023-11-23,DEMO-01,0.0,0.05,0.213,29.0
2023-11-24,DEMO-01,0.0,0.05,0.213,27.22
2023-11-25,DEMO-01,0.0,0.05,0.213,29.02
2023-11-26,DEMO-01,0.4,0.05,0.213,27.84
2023-11-27,DEMO-01,0.4,0.05,0.212,26.99
2023-11-28,DEMO-01,0.4,0.05,0.212,27.09
2023-11-29,DEMO-01,0.0,0.05,0.212,26.35
2023-11-30,DEMO-01,0.4,0.05,0.212,28.58
2023-12-01,DEMO-01,0.0,0.05,0.212,25.86
2023-12-02,DEMO-01,0.87,0.051,0.212,26.79
2023-12-03,DEMO-01,0.4,0.05,0.212,27.57
2023-12-04,DEMO-01,0.0,0.05,0.212,29.27
2023-12-05,DEMO-01,0.15,0.05,0.212,26.88
2023-12-06,DEMO-01,0.0,0.05,0.212,26.47
2023-12-07,DEMO-01,0.0,0.05,0.212,27.09
2023-12-08,DEMO-01,1.89,0.063,0.212,23.59
2023-12-09,DEMO-01,0.0,0.052,0.212,24.84
2023-12-10,DEMO-01,0.4,0.05,0.212,25.87
2023-12-11,DEMO-01,0.0,0.05,0.212,25.33
2023-12-12,DEMO-01,1.14,0.055,0.212,23.93
2023-12-13,DEMO-01,0.0,0.05,0.212,27.36
2023-12-14,DEMO-01,2.29,0.067,0.213,26.29
2023-12-15,DEMO-01,0.0,0.055,0.213,26.18
2023-12-16,DEMO-01,0.0,0.05,0.213,24.93
2023-12-17,DEMO-01,0.0,0.05,0.213,25.94
2023-12-18,DEMO-01,5.07,0.095,0.215,26.15
2023-12-19,DEMO-01,1.18,0.092,0.218,25.23
2023-12-20,DEMO-01,0.4,0.08,0.219,26.2
2023-12-21,DEMO-01,0.4,0.071,0.219,24.39
2023-12-22,DEMO-01,0.4,0.063,0.219,25.57
2023-12-23,DEMO-01,0.4,0.056,0.219,26.97
2023-12-24,DEMO-01,0.0,0.05,0.218,27.06
2023-12-25,DEMO-01,1.9,0.063,0.218,27.01
2023-12-26,DEMO-01,0.4,0.057,0.218,25.58
2023-12-27,DEMO-01,0.0,0.05,0.217,25.2
2023-12-28,DEMO-01,0.0,0.05,0.217,24.47
2023-12-29,DEMO-01,0.0,0.05,0.216,22.51
2023-12-30,DEMO-01,0.0,0.05,0.215,23.11
2023-12-31,DEMO-01,0.0,0.05,0.215,24.71
2024-01-01,DEMO-01,0.96,0.052,0.215,24.68
2024-01-02,DEMO-01,0.4,0.05,0.214,26.8
2024-01-03,DEMO-01,0.0,0.05,0.214,26.65
2024-01-04,DEMO-01,0.0,0.05,0.214,23.81
2024-01-05,DEMO-01,0.4,0.05,0.213,25.86
2024-01-06,DEMO-01,0.4,0.05,0.213,24.01
2024-01-07,DEMO-01,0.0,0.05,0.213,25.63
2024-01-08,DEMO-01,0.0,0.05,0.213,25.77
2024-01-09,DEMO-01,0.0,0.05,0.213,26.36
2024-01-10,DEMO-01,0.0,0.05,0.212,23.91
2024-01-11,DEMO-01,0.0,0.05,0.212,25.99
2024-01-12,DEMO-01,0.0,0.05,0.212,21.93
2024-01-13,DEMO-01,1.14,0.055,0.212,26.28
2024-01-14,DEMO-01,1.0,0.057,0.213,24.43
2024-01-15,DEMO-01,0.0,0.05,0.212,24.51
2024-01-16,DEMO-01,0.0,0.05,0.212,21.66
2024-01-17,DEMO-01,0.0,0.05,0.212,23.96
2024-01-18,DEMO-01,2.63,0.071,0.213,26.23
2024-01-19,DEMO-01,1.13,0.072,0.214,23.83
2024-01-20,DEMO-01,0.0,0.059,0.215,25.5
2024-01-21,DEMO-01,0.0,0.05,0.214,24.55
2024-01-22,DEMO-01,0.0,0.05,0.214,26.0
2024-01-23,DEMO-01,5.68,0.101,0.217,24.44
2024-01-24,DEMO-01,0.0,0.082,0.218,23.23
2024-01-25,DEMO-01,0.0,0.068,0.219,24.63
2024-01-26,DEMO-01,0.0,0.055,0.218,26.81
2024-01-27,DEMO-01,0.0,0.05,0.217,25.28
2024-01-28,DEMO-01,0.0,0.05,0.217,24.45
2024-01-29,DEMO-01,0.0,0.05,0.216,27.79
2024-01-30,DEMO-01,0.4,0.05,0.216,26.26
2024-01-31,DEMO-01,0.0,0.05,0.215,25.83
2024-02-01,DEMO-01,0.0,0.05,0.215,25.17
2024-02-02,DEMO-01,0.0,0.05,0.214,25.78
2024-02-03,DEMO-01,0.0,0.05,0.214,25.86
2024-02-04,DEMO-01,0.0,0.05,0.214,21.78
2024-02-05,DEMO-01,0.0,0.05,0.214,25.43
2024-02-06,DEMO-01,3.49,0.08,0.215,24.47
2024-02-07,DEMO-01,1.49,0.083,0.217,24.17
2024-02-08,DEMO-01,0.36,0.072,0.218,24.72
2024-02-09,DEMO-01,0.0,0.059,0.217,22.89
2024-02-10,DEMO-01,0.54,0.055,0.217,22.56
2024-02-11,DEMO-01,0.0,0.05,0.217,26.92
2024-02-12,DEMO-01,0.4,0.05,0.216,25.85
2024-02-13,DEMO-01,0.0,0.05,0.215,21.91
2024-02-14,DEMO-01,0.0,0.05,0.215,24.55
2024-02-15,DEMO-01,0.0,0.05,0.215,26.65
2024-02-16,DEMO-01,0.0,0.05,0.214,25.09
2024-02-17,DEMO-01,0.0,0.05,0.214,27.3
2024-02-18,DEMO-01,0.0,0.05,0.214,27.1
2024-02-19,DEMO-01,0.4,0.05,0.213,23.78
2024-02-20,DEMO-01,0.0,0.05,0.213,25.58
2024-02-21,DEMO-01,3.68,0.082,0.215,25.0
2024-02-22,DEMO-01,0.0,0.067,0.216,23.99
2024-02-23,DEMO-01,6.28,0.12,0.219,23.59
2024-02-24,DEMO-01,0.4,0.103,0.222,24.95
2024-02-25,DEMO-01,7.36,0.158,0.227,24.83
2024-02-26,DEMO-01,1.41,0.146,0.232,26.58
2024-02-27,DEMO-01,0.0,0.12,0.234,27.83
2024-02-28,DEMO-01,0.0,0.098,0.235,27.18
2024-02-29,DEMO-01,0.0,0.081,0.234,27.6
2024-03-01,DEMO-01,0.4,0.071,0.233,26.25
2024-03-02,DEMO-01,0.0,0.058,0.232,27.59
2024-03-03,DEMO-01,0.0,0.05,0.23,26.63
2024-03-04,DEMO-01,0.4,0.05,0.228,26.3
2024-03-05,DEMO-01,0.0,0.05,0.226,29.7
2024-03-06,DEMO-01,0.96,0.052,0.225,23.83
2024-03-07,DEMO-01,0.0,0.05,0.223,24.63
2024-03-08,DEMO-01,0.0,0.05,0.222,27.9
2024-03-09,DEMO-01,0.0,0.05,0.221,27.1
2024-03-10,DEMO-01,5.19,0.096,0.223,25.25
2024-03-11,DEMO-01,3.01,0.113,0.226,26.03
2024-03-12,DEMO-01,1.93,0.115,0.228,26.39
2024-03-13,DEMO-01,0.0,0.094,0.229,29.17
2024-03-14,DEMO-01,0.0,0.077,0.229,29.73
2024-03-15,DEMO-01,0.4,0.068,0.228,30.43
2024-03-16,DEMO-01,2.04,0.079,0.228,25.92
2024-03-17,DEMO-01,0.0,0.065,0.228,26.48
2024-03-18,DEMO-01,0.0,0.053,0.226,26.5
2024-03-19,DEMO-01,0.0,0.05,0.225,30.44
2024-03-20,DEMO-01,0.0,0.05,0.223,29.34
2024-03-21,DEMO-01,3.71,0.082,0.224,28.76
2024-03-22,DEMO-01,0.0,0.067,0.224,29.33
2024-03-23,DEMO-01,0.0,0.055,0.223,29.05
2024-03-24,DEMO-01,0.0,0.05,0.222,27.69
2024-03-25,DEMO-01,0.0,0.05,0.221,30.1
2024-03-26,DEMO-01,0.0,0.05,0.22,29.25
2024-03-27,DEMO-01,0.0,0.05,0.219,27.96
2024-03-28,DEMO-01,1.02,0.053,0.218,30.51
2024-03-29,DEMO-01,0.0,0.05,0.217,29.3
2024-03-30,DEMO-01,0.0,0.05,0.217,30.35
2024-03-31,DEMO-01,0.0,0.05,0.216,29.98
2024-04-01,DEMO-01,0.0,0.05,0.216,31.53
2024-04-02,DEMO-01,0.4,0.05,0.215,30.7
2024-04-03,DEMO-01,0.0,0.05,0.215,29.31
2024-04-04,DEMO-01,0.0,0.05,0.214,31.13
2024-04-05,DEMO-01,0.0,0.05,0.214,31.3
2024-04-06,DEMO-01,0.0,0.05,0.214,31.65
2024-04-07,DEMO-01,2.64,0.071,0.215,32.35
2024-04-08,DEMO-01,0.4,0.063,0.215,30.31
